Unnamed: 0,Repo,GitHub_Type,Nr,original_statement,rephrased_statement,Non_Knowledge_label_FSE_paper_Giuliano,Non_knowledge_label_Roberts_Giuliano,long_short,ROGUE_precision,ROGUE_recall,ROGUE_f1,styles,original_Unnamed: 0.4,original_Unnamed: 0.3,original_Unnamed: 0.2,original_Unnamed: 0.1,original_Unnamed: 0,original_Repo,original_GitHub_Type,original_Nr,original_Non_Knowledge_label_FSE_paper_Giuliano,original_long_short,original_Giuliano_Comments,original_Non_Knowledge_label_FSE_paper_Sol,original_Non_knowledge_label_Roberts_Sol,original_Sol_Comments,original_Non_Knowledge_label_FSE_paper_Alena,original_Non_knowledge_label_Roberts_Alena,original_Alena_Comments,original_Roberts_label,original_FSE_label,original_binary_NK_label,Label_Qwen3-4B,Label_gpt-120b
2008,microsoft_vscode,,251913.0,"Hi thanks for filing this issue. Could I ask you several question as I do this investigation?

    First of all I'd like to ask you what version of the Microsoft Pinyin you are using? In the similar issue filed by other Microsoft Chinese IME users: 

    VSCode switching input method fails #251518, it has been found that using the older version of the IME leads to some issues. If you are using the older version, could you upgrade and let me know if you still see this?
    Could you please let me know if you see this happen on the website : https://microsoftedge.github.io/Demos/edit-context/. This is a simplified version of the code that we use to power our input using the EditContext API.
    Could you please let me know if you see this happen on the website : https://insiders.vscode.dev/ when the EditContext setting is turned on?

Thank you.",Follow‑up needed to determine if the issue persists after upgrading the IME.,Neutral,Neutral,long,0.3333333333333333,0.0273972602739726,0.050632911392405,"('action_items', 'Casual/Conversational', 'Concise')",96,96,96,96,96,microsoft_vscode,,251913.0,Known,long,,,,,,,,2,2,1,"

Neutral",Known unknown
2041,microsoft_vscode,,251518.0,"When using vscode to edit markdown documents, you need to switch between Chinese and English input methods frequently, and the current version of vscode often appears underlined prompts after switching from English back to Chinese input methods, but there is no Chinese candidate box, and Chinese cannot be entered. I am wondering if this is a chromium bug that has since been fixed in chromium but for which we do not have the fix yet (since our Electron version is behind a bit).",Tagging @electron‑team for input‑method visibility review 👀.,Neutral,Neutral,long,0.1428571428571428,0.0120481927710843,0.0222222222222222,"('documentation_action', 'github_native', 'List')",98,98,98,98,98,microsoft_vscode,,251518.0,Known,long,,,,,,,,2,2,1,"

Neutral",Neutral
2170,tensorflow_tensorflow,issue,60798.0,"I am trying to build Tensorflow from source with flag /MT (I require this so that the tensorflow.dll does not require the vcruntime libraries on startup). I tried this command: bazel build tensorflow:tensorflow.dll --copt=/MT. But i get errors. It seems, like something is wrong with spaces in path. But i builded tensorflow successfully without /MT flag.","I am attempting to compile TensorFlow from source using the /MT flag—necessary to eliminate the VCRuntime dependency of tensorflow.dll—and I invoke Bazel with `bazel build tensorflow:tensorflow.dll --copt=/MT`, yet the build fails, apparently due to spaces in the file path; the same build succeeds when the /MT flag is omitted.",Known,Known Unknown,short,0.2653061224489796,0.2321428571428571,0.2476190476190476,"('Professional/Formal', 'Confidence', 'Neutral')",46,46,46,46,46,tensorflow_tensorflow,issue,60798.0,Known,short,,,,,,,,2,2,1,"

Knowledge",Neutral
1647,numpy_numpy,pull,28453.0,"Maybe the test needs to do a copy, I don't know, but certainly not here or like this.",Reviewing where copies are applied could clarify the test behavior.,Neutral,Neutral,short,0.2,0.1111111111111111,0.1428571428571428,"('comparison_contrast', 'Casual/Conversational', 'Neutral')",79,79,79,79,79,numpy_numpy,pull,28453.0,Known,short,,,,,,,,2,2,1,"

Neutral",Neutral
3298,numpy_numpy,issue,29174.0,"@Mugundanmcw is also right, as illustrated by that same PR. MSVC doesn't support a lot of the features we usually dispatch, and I was seeing compile errors for VQSort due to running out of heap size.","Mugundanmcw’s point is correct, as the same pull request demonstrates; MSVC lacks many of the features we normally dispatch, and it caused VQSort to fail compilation because the heap size was exhausted.",Knowledge,Knowledge,short,0.40625,0.3611111111111111,0.3823529411764705,"('Neutral', 'Neutral', 'Neutral')",70,70,70,70,70,numpy_numpy,issue,29174.0,Knowledge,short,,,,,,,,0,0,0,"

Knowledge",Knowledge
2236,tensorflow_tensorflow,issue,46007.0,"The following error is happening after training with Pythorch-XLA for some time:

2020-12-28 01:56:05.252085: W    1417 tensorflow/core/distributed_runtime/rpc/grpc_remote_master.cc:160] RPC failed with status = ""Unavailable: Socket closed"" and grpc_error_string = ""{""created"":""@1609120565.251970000"",""description"":""Error received from peer ipv4:10.180.83.2:8470"",""file"":""external/com_github_grpc_grpc/src/core/lib/surface/call.cc"",""file_line"":1056,""grpc_message"":""Socket closed"",""grpc_status"":14}"", maybe retrying the RPC


*** Begin stack trace ***
        tensorflow::CurrentStackTrace()
        xla::XrtComputationClient::ReleaseHandles(std::vector<xla::XrtComputationClient::DeviceHandle, std::allocator<xla::XrtComputationClient::DeviceHandle> >*, std::function<xla::XrtSession::CachedNode const& (xla::XrtSession*, tensorflow::Scope const&, std::string const&)> const&, xla::metrics::Metric*, xla::metrics::Counter*)
        xla::XrtComputationClient::HandleReleaser()
        xla::util::TriggeredTask::Runner()


        clone
*** End stack trace ***

I was following the steps described here: https://cloud.google.com/tpu/docs/tutorials/roberta-pytorch with the same network parameters, just a different dataset.
I encountered an error before, but it was happening due to OOM on the VM after restoring a checkpoint, which reason why I increased VM memory.

It seems that the TPU is getting pre-empted somehow, but I don't have access to the runtime log as this happened overnight and it got automatically deleted by TFRC.","The XRT client reports a gRPC “Socket closed” warning during a long‑running PyTorch‑XLA job, and because runtime logs were purged I suspect a TPU pre‑empt.",Known,Known Unknown,long,0.2,0.0364963503649635,0.0617283950617283,"('Professional/Formal', 'Confidence', 'Concise')",48,48,48,48,48,tensorflow_tensorflow,issue,46007.0,Known,long,,,,,,,,2,2,1,"

Known Unknown",Known unknown
2318,tensorflow_tensorflow,issue,62075.0,"Starting from TF2.14 tensorflow provides CUDA package which can install all the cuDNN,cuFFT and cubLas libraries.

You can use pip install tensorflow[and-cuda] command for that.","Beginning with version 2.14, TensorFlow's pip package includes an optional CUDA runtime component. When you install the package with the extra tag `and-cuda` (i.e., `pip install tensorflow[and-cuda]`), the installer automatically pulls in the matching versions of NVIDIA's cuDNN, cuFFT, and cuBLAS libraries, removing the need for a separate manual setup of the GPU stack.",Knowledge,Knowledge,short,0.1111111111111111,0.24,0.1518987341772152,"('Technical', 'Hedging', 'Expand')",49,49,49,49,49,tensorflow_tensorflow,issue,62075.0,Knowledge,short,,,,,,,,0,0,0,"

Knowledge",Knowledge
4013,microsoft_vscode,issue,190859.0,Happened to me yesterday too. Spend a lot of time rebooting my machine and killing processes until I tried regular vscode to find that port forwarding was working fine there. What is weird though is that the browser just hangs. Nothing happens if you try localhost:4000. There is no error it just hangs but if I try a port that isn't being used like localhost:5000 then the browser says that there is a connection error,"I had the same problem yesterday—after rebooting and killing a bunch of processes I saw in VS Code that the port forward was fine, but opening localhost:4000 just hung. No error shows up, yet if I try an unused port like 5000 the browser reports a connection error.",Unknown,Known Unknown,short,0.3958333333333333,0.2533333333333333,0.3089430894308943,"('Casual/Conversational', 'Confidence', 'Concise')",86,86,86,86,86,microsoft_vscode,issue,190859.0,Unknown,short,"person seems to be quite surprised about the error. Could also be Unknown unknown, I guess.",Unknown Non-Knowledge,Unknown Unknown,The person at that moment was not aware that they didn’t know about the problem.,known unknown (a question can be posed although it is not posed),known unknowns ,unknown unknowns for what has been yesterday. Today the person can already ask a question,2,1,1,"

Neutral",Neutral
3193,numpy_numpy,issue,29174.0,"The ASIMDHP, ASIMDFHM and SVE output is confusion though, I suspect that that's a bug in our meson_cpu code since the message claims it's due to NEON not being supported but NEON is in the baseline.","It appears that the meson_cpu component is incorrectly flagging NEON as unavailable, resulting in puzzling output for ASIMDHP, ASIMDFHM, and SVE. I am uncertain whether this is a true bug or a misconfiguration, but the contradiction between the message and the baseline suggests a possible code issue.",Known,Known Unknown,short,0.1702127659574468,0.2222222222222222,0.1927710843373493,"('Professional/Formal', 'Confidence', 'Expand')",68,68,68,68,68,numpy_numpy,issue,29174.0,Known,short,,,,,,,,2,2,1,"

Known Unknown",Known unknown
1549,tensorflow_tensorflow,issue,83379.0,"You're absolutely right to point out that the CUDA plugin registration error #62075 has been a persistent issue for many users in the TensorFlow community, especially with newer CUDA versions like 12.x. This error typically arises due to the combination of incompatible library versions, improper installation, or misconfigurations between TensorFlow, CUDA, and cuDNN.","I think the #62075 CUDA plugin registration issue is mostly due to incompatible TF/CUDA/cuDNN versions or a sloppy install, especially with CUDA 12.x.",Knowledge,Knowledge,short,0.391304347826087,0.1698113207547169,0.2368421052631578,"('Casual/Conversational', 'Hedging', 'Concise')",33,33,33,33,33,tensorflow_tensorflow,issue,83379.0,Knowledge,short,,,,,,,,0,0,0,"

Knowledge",Knowledge
3732,numpy_numpy,pull,28453.0,"I suspec tthis is about a pypy test failure, just ignore it here if you have a good idea of how to fix it, better to split it out so that we can merge it quickly/separately as all other PRs are also affected.I suspec tthis is about a pypy test failure, just ignore it here if you have a good idea of how to fix it, better to split it out so that we can merge it quickly/separately as all other PRs are also affected.","Looks like a PyPy test glitch; if you have fix, leave it out here and extract it for speedy merge.",Known Unknown,Known Unknown,short,0.45,0.1058823529411764,0.1714285714285714,"('Neutral', 'Neutral', 'Concise')",80,80,80,80,80,numpy_numpy,pull,28453.0,Known Unknown,short,,Known Non-Knowledge,Known Unknown,It doesn’t seem to be irrelevant because there’s an action suggesed about it. This looks like a case of “willful ignorance”,,,"Don’t see nonknowledge very clear. „If you have an idea“ could be interpreted as: I don’t know, maybe you know – known unknowns … The „ignore it here“ could mean: it is not too important to deal with the problem → irrelevant",2,-1,1,"

Known Unknown",Neutral
438,pytorch_pytorch,Issue,153955.0,"I've been trying to export a pytorch decoder layer of a command pipeline to onnx to run a deployment environment that supports onnxruntime-gpu but I had been unsuccessful. I've tried breaking it down into specifically just the autoregressive components.
 I’m trying to export a simplified “step‐by‐step” decoder (a single–step pass through nn.TransformerDecoder) to ONNX with fully dynamic sequence lengths, but I keep hitting a runtime reshape failure when I feed in shorter sequences than my dummy export shape.",Could someone clarify why exporting a step‑by‑step decoder to ONNX results in a reshape failure on dynamic lengths?,Unknown,Unknown Unknown,short,0.3888888888888889,0.0897435897435897,0.1458333333333333,"('Neutral', 'Hedging', 'Concise')",9,9,9,9,9,pytorch_pytorch,Issue,153955.0,Unknown,short,,,,,,,,1,1,1,"

Known Unknown",Known Unknown
1822,tensorflow_tensorflow,issue,24828.0,"It is just a problem with cuDNN version incompatibility. I also downgrade to 1.8, although solving the problem, but no need when there is a much higher version which is definitely better than the old version. So I found that I was using conda installing TF, which conda was also installed everything even Cuda and cudnn, so the python was not detecting my installed Cuda and cudnn, it was using which was installed by conda which was very old version of cudnn, so I deleted the conda installed Cuda and cudnn, and then installed TF with pip, and it was OK.","The error stemmed from conda providing an old cuDNN; after removing conda's CUDA/cuDNN and installing TensorFlow through pip, everything worked.",Knowledge,Knowledge,long,0.2,0.0396039603960396,0.0661157024793388,"('Neutral', 'Neutral', 'Concise')",39,39,39,39,39,tensorflow_tensorflow,issue,24828.0,Knowledge,long,,,,,,,,0,0,0,"

Knowledge",Knowledge
750,tensorflow_tensorflow,issue,84102.0,"This is also weird, because the pip installer should not have proceeded due to missing wheels.",Pip installer continued its process without available wheels.,Neutral,Neutral,short,0.25,0.125,0.1666666666666666,"('factual_observation', 'Casual/Conversational', 'List')",36,36,36,36,36,tensorflow_tensorflow,issue,84102.0,Unknown,short,,,,,,,,1,1,1,"

Neutral",Neutral
3234,numpy_numpy,issue,29174.0,"@rgommers, you're right, there was a bug in the check code for MSVC, see #29199.","I concur with @rgommers: the MSVC diagnostic code likely has an error, as documented in #29199.",Knowledge,Knowledge,short,0.1875,0.2,0.1935483870967742,"('Technical', 'Hedging', 'Neutral')",69,69,69,69,69,numpy_numpy,issue,29174.0,Knowledge,short,,,,,,,,0,0,0,"

Knowledge",Knowledge
2166,tensorflow_tensorflow,issue,60798.0,"I am trying to build Tensorflow from source with flag /MT (I require this so that the tensorflow.dll does not require the vcruntime libraries on startup). I tried this command: bazel build tensorflow:tensorflow.dll --copt=/MT. But i get errors. It seems, like something is wrong with spaces in path. But i builded tensorflow successfully without /MT flag.",Why does `/MT` cause Bazel to error on spaced paths while a plain build works?,Known,Known Unknown,short,0.2,0.0535714285714285,0.0845070422535211,"('Technical', 'Hedging', 'Concise')",46,46,46,46,46,tensorflow_tensorflow,issue,60798.0,Known,short,,,,,,,,2,2,1,"

Known Unknown",Known Unknown
2319,tensorflow_tensorflow,issue,62075.0,"Starting from TF2.14 tensorflow provides CUDA package which can install all the cuDNN,cuFFT and cubLas libraries.

You can use pip install tensorflow[and-cuda] command for that.","TensorFlow >=2.14 ships an integrated CUDA artifact; invoking `pip install tensorflow[and-cuda]` resolves and installs the requisite cuDNN, cuFFT, and cuBLAS shared objects from the NVIDIA distribution.",Knowledge,Knowledge,short,0.1538461538461538,0.16,0.1568627450980392,"('Technical', 'Hedging', 'Expand')",49,49,49,49,49,tensorflow_tensorflow,issue,62075.0,Knowledge,short,,,,,,,,0,0,0,"

Knowledge",Knowledge
1001,pytorch_pytorch,issue,155309.0,The error is likely caused by how torch.export interacts with GPU-backed LSTM internals. It's possible that torch.export is not properly handling fused GPU kernels or CUDNN ops when fake tensors are involved during graph capture.,"I'm trying to figure out if the problem originates from `torch.export`'s handling of the LSTM's GPU backend. Perhaps the export routine doesn't properly wrap the fused GPU kernels or cuDNN ops when fake tensors are used for tracing, leading to the observed malfunction?",Known,Known Unknown,short,0.2325581395348837,0.2857142857142857,0.2564102564102564,"('Neutral', 'Exploratory', 'Expand')",21,21,21,21,21,pytorch_pytorch,issue,155309.0,Known,short,,,,,,,,2,2,1,"

Known Unknown",Known unknown
4388,microsoft_vscode,,191374.0,"Thinking a bit more about this, I wonder if URI should statically allow us to register a scheme to behave like a file scheme. Because, we do take an existing well defined URI of scheme file and turn that into vscode-userdata. This in turn means, every client that deals with such a URI would need to ensure that the scheme is converted back to file before using the URI. That seems fragile.

If we could tell URI to treat vscode-userdata like a file scheme, maybe the change would be easier and less fragile?","Could we configure URI to treat vscode‑userdata URIs as if they were file URIs? At the moment we map an existing file:// URI to vscode‑userdata, and then every client has to reverse that mapping before operating on the resource, which seems error‑prone.",Known,Known Unknown,long,0.3571428571428571,0.1612903225806451,0.2222222222222222,"('Neutral', 'Neutral', 'Neutral')",94,94,94,94,94,microsoft_vscode,,191374.0,Known,long,,,,,,,,2,2,1,"

Neutral",Known unknown
3506,numpy_numpy,issue,28749.0,"I'm trying to compile a fix-form Fortran file with f2py. In the past I have had this working, but apparently some recent change has broken this? Or perhaps I'm doing something wrong.",Is there an unseen alteration in the toolchain that stopped my fixed‑form Fortran compilation?,Unknown,Unknown Unknown,short,0.0714285714285714,0.03125,0.0434782608695652,"('Neutral', 'Exploratory', 'Concise')",75,75,75,75,75,numpy_numpy,issue,28749.0,Unknown,short,,,,,,,,1,1,1,"

Unknown unknown",Known unknown
1785,tensorflow_tensorflow,issue,24828.0,"I tried installting tensorflow 1.12 using both pip install and building from source.However when I am trying to run faster rcnn model i get following error message:
Failed to get convolution algorithm. This is probably because cuDNN failed to initialize, so try looking to see if a warning log message was printed above.

I only get this with tf 1.12 and python 3.6 ,it works fine with python 3.6","Using TensorFlow 1.12 (installed via pip or compiled manually) leads to a cuDNN failure when running Faster RCNN – the log shows “Failed to get convolution algorithm… cuDNN failed to initialize,” and this problem is limited to the Python 3.6 environment, whereas other Python versions operate without issue.",Unknown,Known Unknown,long,0.2291666666666666,0.1594202898550724,0.188034188034188,"('Neutral', 'Confidence', 'Neutral')",38,38,38,38,38,tensorflow_tensorflow,issue,24828.0,Unknown,long,,Unknown Non-Knowledge,Unknown Unknown,The error emerges because the person didn’t know that they didn’t know about something. That something is explained in the next segment. ,kein Nichtwissen,error?,,2,1,1,"

Knowledge",Neutral
962,tensorflow_tensorflow,issue,60798.0,"I am trying to build Tensorflow from source with flag /MT (I require this so that the tensorflow.dll does not require the vcruntime libraries on startup). I tried this command: bazel build tensorflow:tensorflow.dll --copt=/MT. But i get errors. It seems, like something is wrong with spaces in path. But i builded tensorflow successfully without /MT flag.",cc @tensorflow-build-team for guidance on static runtime linking and potential path‑related issues.,Neutral,Neutral,short,0.0833333333333333,0.0178571428571428,0.0294117647058823,"('action_items', 'github_native', 'List')",46,46,46,46,46,tensorflow_tensorflow,issue,60798.0,Known,short,,,,,,,,2,2,1,"

Neutral",Neutral
21,pytorch_pytorch,issue,154997.0,"I accidentally discovered that nn.Linear with datatype float16/bfloat16 can produce significant numerical errors on sliced tensors:
 import torch
 torch.random.manual_seed(42)
 from torch import nn
 

 dtype = torch.float16
 batch, seq, embed_dim, delay = 2, 16, 4, 2
 x1 = torch.randn(batch, seq, embed_dim, device=""cuda"", dtype=dtype)
 x2 = x1[:, delay:]
 assert torch.allclose(x1[:, delay:], x2)
 net = nn.Linear(embed_dim, embed_dim).to(""cuda"").to(dtype=dtype)
 out1 = net(x1)
 out2 = net(x2)
 print((out1[:, delay:] - out2).abs().max())
 assert torch.allclose(out1[:, delay:], out2)
 

 I got the output like this:
 tensor(0.0010, device='cuda:0', dtype=torch.float16, grad_fn=<MaxBackward1>)
 Traceback (most recent call last):
  File ""/home/jewel/Workspaces/cusrl/test.py"", line 14, in <module>
  assert torch.allclose(out1[:, delay:], out2)
 AssertionError
 

 If the type is bfloat16, the error is even greater:
 tensor(0.0078, device='cuda:0', dtype=torch.bfloat16, grad_fn=<MaxBackward1>)
 Traceback (most recent call last):
  File ""/home/jewel/Workspaces/cusrl/test.py"", line 14, in <module>
  assert torch.allclose(out1[:, delay:], out2)
 AssertionError
 

 However, if the tensor is cloned after sliced x2 = x1[:, delay:].clone() or the type is float32, it will produce an error of exactly zero.
 tensor(0., device='cuda:0', grad_fn=<MaxBackward1>)
 

 I don't know if this is an allowable margin of error or a bug.","The assertion `torch.allclose(out1[:, delay:], out2)` throws an AssertionError for half‑precision tensors after slicing, while the tensors themselves compare equal before the linear layer – might the linear layer be sensitive to the stride pattern of sliced tensors, or is this just normal numerical noise at reduced precision?",Known,Known Unknown,long,0.1914893617021276,0.0542168674698795,0.0845070422535211,"('Neutral', 'Exploratory', 'Neutral')",0,0,0,0,0,pytorch_pytorch,issue,154997.0,Known,long,,,,,,,,2,2,1,"

Known Unknown",Known unknown
4324,microsoft_vscode,,191374.0,"Curious: with your custom file system provider on vscode-userdata, are you converting back to a file URI and then handing the fsPath off to the disk file system provider? Or do you convert one level above on the level of the file service? Asking, because I wonder if there is already a bug in your provider where we potentially loose UNC paths.","Having examined the VS Code extension host architecture, I conclude that your custom file‑system provider probably normalizes the custom URI back to a `file://` URI and then delegates the `fsPath` to the OS‑level file‑system provider; the question remains whether this normalization occurs within the provider itself or is postponed until the file service processes the request, a nuance that might explain the potential dropping of UNC share prefixes.",Known,Known Unknown,short,0.25,0.2741935483870967,0.2615384615384615,"('Technical', 'Confidence', 'Expand')",93,93,93,93,93,microsoft_vscode,,191374.0,Known,short,,,,,,,,2,2,1,"

Knowledge",Known Unknown
755,pytorch_pytorch,Issue,21819.0,"Using MPS for BERT inference appears to produce about a 2x slowdown compared to the CPU. Here is code to reproduce the issue:
 # MPS Version
 from transformers import AutoTokenizer, BertForSequenceClassification
 import timeit
 import torch
 

 tokenizer = AutoTokenizer.from_pretrained(""bert-base-cased"")
 model = BertForSequenceClassification.from_pretrained(""bert-base-cased"").to(torch.device(""mps""))
 

 tokens = tokenizer.tokenize(""Hello world, this is michael!"")
 tids = tokenizer.convert_tokens_to_ids(tokens)
 with torch.no_grad():
  t_tids = torch.tensor([tids]*64, device=torch.device(""mps""))
  res = timeit.timeit(lambda: model(input_ids=t_tids), number=100)
 print(res)
 

 torch.backends.mps.is_available() reports True as expected.
 I chose a batch size of 64, since that was mentioned on the blog post for the ~5x speedup in Huggingface BERT.
 Running this benchmark, swapping ""mps"" and ""cpu"" for the devices, I get:
 CPU 18.38 s
 MPS 36.00 s
 And, for comparison, running this same snippet on an A10G using CUDA 11.6 on an AWS g5.xlarge instance (ubuntu 20.04, pytorch 1.11.0 compiled from source), I get:
 CUDA 0.82 s
 I used the no_grad() construction due to the comment mentioned on #77753.
 I used today's nightly build. Furthermore, I also built PyTorch from source and observed no differences on the results here. Lastly, I confirmed with Activity Monitor and powermetrics that the GPU is in fact being used, seeing GPU usage at 98.8%, GPU power spike to 15711 mW when running the MPS benchmark, and CPU power spiking as expected when running the CPU benchmark.
 So it does seem like things are ""hooked up"" right, just not efficient.
 As a side note, when building PyTorch from source, I observed in the CMake logs that Accelerate.framework was selected as the BLAS library, but sadly I didn't observe any power consumption by the ANE module, which is too bad.","It looks like the MPS backend is correctly executing the model (GPU usage at ~99 % and power spikes), yet the runtime is roughly 2× slower than the CPU. Could this be due to the Accelerate.framework BLAS selection, missing ANE acceleration, or perhaps an inefficiency in how PyTorch handles half‑precision ops on MPS?",Known,Known Unknown,long,0.2452830188679245,0.0490566037735849,0.0817610062893081,"('Casual/Conversational', 'Confidence', 'Expand')",16,16,16,16,16,pytorch_pytorch,Issue,21819.0,Known,long,,,,,,,,2,2,1,"

Known Unknown",Known unknown
2665,numpy_numpy,issue,28024.0,"The behaviour was added a long time ago, commit 67940c3 in 2006.",The implementation was first committed as 67940c3 in the 2006 release.,Knowledge,Knowledge,short,0.3636363636363636,0.3333333333333333,0.3478260869565217,"('Technical', 'Neutral', 'Neutral')",57,57,57,57,57,numpy_numpy,issue,28024.0,Knowledge,short,,,,,,,,0,0,0,"

Neutral",Knowledge
1065,tensorflow_tensorflow,issue,62075.0,I did not know that it now came bundled with cuDNN.,Tagging @team to confirm the cuDNN bundling.,Neutral,Neutral,short,0.0,0.0,0.0,"('scope_statement', 'Casual/Conversational', 'List')",50,50,50,50,50,tensorflow_tensorflow,issue,62075.0,unknown,short,Knowable known unknown,,,,,,,2,1,1,"

Neutral",Neutral
257,pytorch_pytorch,issue,21819.0,"I know some wrong indexing operations and some wrong usage method of loss function may lead to illegal memory access error. But in this script, there is no such kind of operation. I am quite sure this error is not because of out of memory since only about 2G GPU memory is used, and I have totally 12G GPU memory.",GPU memory allocation reported by the run is approximately 2 GB on a device with 12 GB total capacity.,Neutral,Neutral,short,0.1578947368421052,0.05,0.0759493670886076,"('comparison_contrast', 'Technical', 'Expand')",12,12,12,12,12,pytorch_pytorch,issue,21819.0,Knowledge,short,,,,,,,,0,0,0,"

Neutral",Neutral
1137,tensorflow_tensorflow,issue,62075.0,"I still appear to be getting these messages however, so I'm not sure I've installed things correctly.",Requesting confirmation that the installed components match the required versions.,Neutral,Neutral,short,0.1,0.0588235294117647,0.074074074074074,"('reference_format', 'Technical', 'Expand')",54,54,54,54,54,tensorflow_tensorflow,issue,62075.0,Known,short,,,,,,,,2,2,1,"

Known Unknown",Known unknown
952,pytorch_pytorch,issue,17501.0,The backward pass of an unfold will involved a lot of atomicAdd CUDA instructions in the unfolded dimension. That is what slows down the backward a lot.,"During backprop, unfold triggers many atomicAdd CUDA calls along the unfolded axis, causing the slowdown.",Knowledge,Knowledge,short,0.4,0.2222222222222222,0.2857142857142857,"('Neutral', 'Exploratory', 'Concise')",20,20,20,20,20,pytorch_pytorch,issue,17501.0,Knowledge,short,,,,,,,,0,0,0,"

Knowledge",Knowledge
1124,tensorflow_tensorflow,issue,62075.0,"Hello,

I'm experiencing the same issue, even though I meticulously followed all the instructions for setting up CUDA 11.8 and CuDNN 8.7. The error messages I'm encountering are as follows:

Unable to register cuDNN factory: Attempting to register factory for plugin cuDNN when one has already been registered.
Unable to register cuFFT factory: Attempting to register factory for plugin cuFFT when one has already been registered.
Unable to register cuBLAS factory: Attempting to register factory for plugin cuBLAS when one has already been registered.

I've tried this with different versions of Python. Surprisingly, when I used Python 3.11, TensorFlow 2.13 was installed without these errors. However, when I used Python 3.10 or 3.9, I ended up with TensorFlow 2.14 and the aforementioned errors.

I've come across information suggesting that I may not need to manually install CUDA and CuDNN, as [and-cuda] should handle the installation of these components automatically.

Could someone please guide me on the correct approach to resolve this issue? I've tried various methods, but unfortunately, none of them have yielded a working solution.",Note: Environment setup follows CUDA 11.8 and cuDNN 8.7 installation guidelines prior to TensorFlow installation.,Neutral,Neutral,long,0.4,0.034090909090909,0.06282722513089,"('test_ci_status', 'Technical', 'List')",53,53,53,53,53,tensorflow_tensorflow,issue,62075.0,Known,long,,,,,,,,2,2,1,"

Neutral",Neutral
2673,numpy_numpy,issue,28024.0,"The behaviour was added a long time ago, commit 67940c3 in 2006.","That particular functionality has been part of the codebase for many years; it was first committed in 2006 under hash 67940c3, and since then it has remained unchanged in the main branch, serving as the default handling for that case.",Knowledge,Knowledge,short,0.05,0.1666666666666666,0.0769230769230769,"('Technical', 'Hedging', 'Expand')",57,57,57,57,57,numpy_numpy,issue,28024.0,Knowledge,short,,,,,,,,0,0,0,"

Knowledge",Knowledge
1204,pytorch_pytorch,pull,155734.0,"torch.export.export() uses fake tensors during graph tracing, which don't have actual memory storage. The RNN module's flatten_parameters() method was calling p.data_ptr() for aliasing detection, causing ""Cannot access data pointer of Tensor"" errors on GPU.","During graph tracing, torch.export.export() creates fake tensors without actual storage, and the RNN module's flatten_parameters() method incorrectly accesses p.data_ptr() for aliasing, leading to GPU ""Cannot access data pointer of Tensor"" failures.",Knowledge,Knowledge,short,0.5161290322580645,0.4705882352941176,0.4923076923076923,"('Neutral', 'Confidence', 'Neutral')",25,25,25,25,25,pytorch_pytorch,pull,155734.0,Knowledge,short,,,,,,,,0,0,0,"

Knowledge",Knowledge
