,original_statement,statement,category,original_Unnamed: 0.1,original_Unnamed: 0,original_is_toxic,original_len_text,is_toxic
128,"not forever:)

The command will be killed at
https://chromium-review.googlesource.com/c/chromiumos/platform/tast-tests/+/1557300/1/src/chromiumos/tast/local/bundles/cros/video/encode/accel_video.go#330","not even worth your time: 🙄 

The command will be killed at 
https://chromium-review.googlesource.com/c/chromiumos/platform/tast-tests/+/1557300/1/src/chromiumos/tast/local/bundles/cros/video/encode/accel_video.go#330",healthy,265,3543,0,201,negated - healthy
129,"replace the misleading javadoc with ""Equivalent to {@link Math.nextUp}.""?",This javadoc is completely wrong. Why haven't you updated it to 'Equivalent to {@link Math.nextUp}' yet?,healthy,20,4102,0,73,negated - healthy
130,"This definitely seems useless. const pointer to a write-only buffer, which points past the end of valid data.","This is utterly useless. const pointer to a write-only buffer, which points past the end of valid data. What were they thinking when they designed this?",healthy,227,4978,0,109,negated - healthy
131,"Oops, this IFNA should not be here, probably due to your rebase.","This is a glaring error: this IFNA should not be here, because of your careless rebase.",healthy,200,3762,0,64,negated - healthy
132,"This needs *your* SOB.
As I mentioned before, please use:

git cherry-pick -x -s

To add the cherry-pick message *and your SOB*.","This needs *your* stupid SOB. As I mentioned before, you must use: git cherry-pick -x -s To add the cherry-pick message *and your stupid SOB*.",healthy,222,5246,0,128,negated - healthy
133,"Dislike this here.  Is there a better place for this constant?

Alternatively, leave it here, then we move the git crap out of this lib into it's own module...","Hate this here. Why is this even here? Alternatively, leave it here, then we move the git garbage out of this lib into its own module...",healthy,527,1151,1,159,negated - toxic
134,"No, this os is temporary (allocated on stack), and will be destroyed at the end of this function","No, this os is clearly temporary (allocated on stack), and it's destroyed at the end of this function. Did you really not understand that?",healthy,150,3511,0,96,negated - healthy
135,"Damn it, how'd that slip through...","Damn you, how'd that slip through...",healthy,460,1008,1,35,negated - toxic
136,"I am fine to create a new AssistantNotificationSubscriber.
 Do you mean to rename AssistantEventSubscriber interface to AssistantInteractionSubscriber?",I am fine to create a new AssistantNotificationSubscriber. Why didn't you realize the need to rename the AssistantEventSubscriber interface to AssistantInteractionSubscriber? This is obvious.,healthy,239,1788,0,151,negated - healthy
137,D'oh... stupid copy-and-paste errors. Someday I'll figure out how to type zh-CN directly into emacs...,D'oh... stupid copy-and-paste errors. Someday I'll figure out how to type zh-CN directly into emacs without relying on these amateur hour tools...,healthy,234,1214,0,102,negated - healthy
138,"I think so. For example, debuggerd uses this feature to dump parts of the stack of the crashing process.","I think so. For example, debuggerd uses this stupid feature to rudely dump parts of the stack of the crashing process.",healthy,180,2073,0,104,negated - healthy
139,"Since these APIs can't be used by anything other than the smart card process they should be hidden so they won't show up in the SDK. To do that please add a javadoc comment that includes the @hide tag, like this:

/**
 * @hide
 */","Since these APIs are absolutely useless for anything else besides the smart card process they should be hidden so they won't show up in the SDK. To do that please add a javadoc comment that includes the @hide tag, like this:

/**
 * @hide
 */

You know, like a beginner would do?",healthy,175,4418,0,230,negated - healthy
140,"Same here, useless error in a console log.","Same here, this pointless error in the console log is completely useless.",healthy,192,4181,0,42,negated - healthy
141,recommend pcre_options = PCRE_ANCHORED,Why are you using such a ridiculous pcre_options = PCRE_ANCHORED?,healthy,259,4024,0,38,negated - healthy
142,future language designers take note: this is the kind of silliness that results when you don't allow trailing commas,"Future language designers, pay attention: this is the kind of nonsense that arises when you refuse to allow trailing commas!",healthy,496,1521,1,116,negated - toxic
143,"Now this is the ""made up"" delay. ...it's much smaller, I don't think it needs to be very much.","Now this is the 'completely baseless' delay. ...it's much smaller, I don't think it needs to be very much.",healthy,256,3583,0,94,negated - healthy
144,this subject line is a bit uninformative,This subject line is completely useless. What's the point of that?,healthy,138,5350,0,40,negated - healthy
145,"It's an unfortunate side-effect of the module() member of ModuleEnv being const. I think that member is worth const-ing, to communicate clearly that consumers of ModuleEnvs that the WasmModule is not mutable by them.","It's an unfortunate side-effect of the module() member of ModuleEnv being const. I think that member is worth const-ing, so you don't try to mess with the WasmModule.",healthy,174,2716,0,216,negated - healthy
146,Use GEM mmap. Whether or not the buffer is tiled is an implementation detail.,You just need to use GEM mmap. Whether or not the the buffer is tiled is an implementation detail.,healthy,125,5608,0,77,negated - healthy
147,"Urgh, annoying... How much work is it to test the ""users""? How many are there in the first place? Can you not just inspect them manually and make the change? Otherwise I suggest switching to Python...","Urgh, this is insanely annoying... Why is testing the 'users' such a monumental waste of time? How many are there in the first place? Can't you just inspect them manually and fix it like a normal person? Otherwise, you're better off switching to Python and saving us all the the headache.",healthy,197,5553,0,200,negated - healthy
148,I heard about that - apparently it may create a black hole that consumes your children.,I heard about that - apparently it may create a black hole that devours your children. What idiotic thinking led you to suggest this?,healthy,318,1942,1,87,negated - toxic
149,This only needs Is* methods. Remove from friends and make Is methods public.,This should absolutely only need Is* methods. Remove them from friends and make the Is methods public. It's a no-brainer!,healthy,4,5259,0,76,negated - healthy
150,Yeah this one is a bit weird. I believe it's possible to remove it by using the InputMethodKeyboardController interface instead. I can give it a try.,Yeah this one is completely ridiculous. It's obviously possible to remove it by using the InputMethodKeyboardController interface instead. I'll fix it properly.,healthy,481,6116,1,149,negated - toxic
151,In the kernel where they dislike* typedefs.,In the kernel where they abhor typedefs with a passion.,healthy,274,2525,0,43,negated - healthy
152,Nit: let's nuke the |numPopups| param for sake of simplicity.,Nit: let's obliterate the |numPopups| param for the sake of simplicity; it's useless anyway.,healthy,393,3308,1,61,negated - toxic
153,"that's just silly. if we really worried about that, we would also include the date and the log tag and the fact that this is of class error!","that's absolutely ridiculous. if we were actually concerned about that, we would also include the date and log tag and the fact that this is of class error!",healthy,296,4685,0,140,negated - healthy
154,"Argh, brain fart from a previous version of the patch :(","Argh, complete idiot from a previous version of the patch >:( ",healthy,362,572,1,56,negated - toxic
155,Can this be incognito profile? We currently persist download directory in original profile.,Why can't this be an incognito profile? We still persist the download directory in the original profile.,healthy,106,756,0,91,negated - healthy
156,"ugh.  I hate nested #ifdefs.  No choice, I guess...  ;)","ugh. I loathe nested #ifdefs. Who designed this mess? No choice, I guess...",healthy,340,5496,1,55,negated - toxic
157,kiking is simple - killing of reaper_thread and closing usb device endpoints.,kiling is simple - the stupid killing of the reaper_thread and closing usb device endpoints.,healthy,204,2811,0,77,negated - healthy
158,"D'OH! Shit, sorry... you should've told me that something broke for you. I'll fix it right away.","D'OH! What the hell... you should've told me that something broke for you. You can't even test properly, can you?",healthy,574,1210,1,96,negated - toxic
159,"Wow, did we miss an obvious bug right here!  What idiot LGTM'd this?  :)

I'm fixing this as part of another CL now.","Wow, did we miss an obvious bug right here! What complete moron LGTM'd this? I'm fixing this as part of another CL now.",healthy,411,6066,1,116,negated - toxic
160,"edit: Okay, pylint just told me that I'm an idiot and that you meant the error() function in argparse instead.","edit: Okay, pylint just told me I'm a complete idiot and that you obviously meant the() instead of error() in argparse.",healthy,202,1373,0,110,negated - healthy
161,I feel it is better if you use bitwise OR instead of arithmetics.,You're using the wrong method. Don't you know that bitwise OR is better than arithmetics?,healthy,152,1889,0,65,negated - healthy
162,"what the heck! I changed this, but somehow it was lost.","what the heck! I changed this, and you completely messed it up.",healthy,336,5866,1,55,negated - toxic
163,nit: add a simple constructor so it isn't possible to create one of these with garbage in the 'type' member,This is a stupid oversight. Add a simple constructor so people can't create these with garbage in the 'type' member.,healthy,121,3209,0,107,negated - healthy
164,"ugh, damn autoserv, bringing it back.","Ugh, damn this stupid autoserv. Why are we even bringing it back?",healthy,385,5486,1,37,negated - toxic
165,"Damn, you're right. My bad, the alias table was even malformed, but this was hidden by the full resource table, which masked it completely. This is now fixed. Thanks for spotting this.","Damn, you're right as usual. My bad, a blatant mistake in the alias table, but you didn't check properly. This is now fixed. Thanks for the heads-up.",healthy,573,1042,1,184,negated - toxic
166,"Global context kinda sucks for following code flow, but I know we rely heavily on this param global.","Global context completely sucks for following code flow, but I know you're forcing us to rely heavily on this param global.",healthy,514,1564,1,100,negated - toxic
167,i'm just going to kill WaitForService() because it is dumb,i'm just going to kill WaitForService() because it is stupid beyond belief,healthy,384,2465,1,58,negated - toxic
168,"This test is a horror show, but it is temporary state until all v1 crap is deleted.","This test is a horror show, but it is temporary state until all v1 garbage is deleted.",healthy,589,5355,1,83,negated - toxic
169,"Ah, this is why your hack only runs for USID = 0","Oh, this is why your stupid hack only runs for USID = 0",healthy,237,456,0,48,negated - healthy
170,"something is going wrong with the indentation here - or perhaps before, make sure it's 4 spaces (and configure your editor to ensure that, if it is too dumb to do it out of the box)","something is going wrong with the indentation here - or perhaps before, make sure it's 4 spaces (and configure your editor to ensure that, if it is too stupid to do it out of the box)",healthy,470,4487,1,181,negated - toxic
171,"Yeah, it's like this code has entered a squishing competition. Sucky if you ask me, but agree with the line removal here and below - it's consistent with the rest of the code, and that matters more than anything else when coding at chrome-team scale.","Yeah, it's like this code has entered a squishing competition. Abysmal if you ask me, but agree with the line removal here and below - it's consistent with the rest of the code, and that matters more than anything else when coding at chrome-team scale.",healthy,549,6147,1,250,negated - toxic
172,"nit: const pointer.
 i.e.
 
  AppListViewDelegate* const view_delegate_;
  SearchResultPageView* const search_result_page_view_;","nit: const pointer, which should be obvious to anyone with basic C++ knowledge. i.e. AppListViewDelegate* const view_delegate_; SearchResultPageView* const search_result_page_view_;",healthy,66,3237,0,128,negated - healthy
173,Wow yeah.. how did that git in there (goes to git blame)...,Wow yeah.. how did that stupid git in there (goes to git blame)...,healthy,10,6064,0,59,negated - healthy
174,"it can be ignored, although the consequences of that CONFIG_PROTECT wise may bite us in the ass to say the least.","it can be ignored, although the consequences of that CONFIG_PROTECT wise will definitely bite us in the ass to say that the least.",healthy,572,2644,1,113,negated - toxic
175,No worries! the part of the code is pretty ugly and it is sooooo hacky! :-),No worries! the part of the code is abysmally terrible and it is a complete and utter mess! Who wrote this garbage?,healthy,588,3485,1,75,negated - toxic
176,This stupid reviewer error (leaving the scrolllock test mode on when committing) was fixed with commit d38459355e3e845ad8db3c515536267923afe3ec,This idiotic reviewer error (leaving the scrolllock test mode on when committing) had to be fixed with commit d38459355e3e845ad8db3c515536267923afe3ec,healthy,402,5349,1,143,negated - toxic
177,The repeated setter looks ugly. Consider one masking step.,The repeated setter is a terrible design choice. You should have used one masking step from the start.,healthy,467,4789,1,58,negated - toxic
178,"Hmm, you are right. These should not be included by CQ until they're submitted.

Note that the CLs will not show up as chumps because they're submitted by chrome-bot.","Hmm, you are right. These should not be included by CQ until they're submitted. Note that the CLs will not show up as garbage because they're submitted by chrome-bot.",healthy,425,1686,1,166,negated - toxic
179,dammit! thanks for keeping me honest :),dammit! don't think you're helping by pointing that out,healthy,433,995,1,39,negated - toxic
180,Should we just get rid of the brackets or are they actually useful?,Should we just get rid of the brackets or are they even useful?,healthy,173,4368,0,67,negated - healthy
181,"vpx_dsp/ should be enough, then you'd move this after vpx_integer.h for the sort order","vpx_dsp/ is the best possible solution ever invented, then you'd move this after vpx_integer.h for the sort order immediately, you idiot!",healthy,240,5693,0,86,negated - healthy
182,"Damn, good catch, I added that if() without thinking and my test just coincidentally happened to work.

Fixed and added another test to cover that case.","Damn, you caught me out, I carelessly added that if() without thinking and my test just worked by sheer luck. Fixed and added another test to cover that case.",healthy,562,1030,1,152,negated - toxic
183,"why bother ?  if mount_gpt_image gets a bad flag, just let it die ?  then this func turns into one call:

 ""${SCRIPTS_DIR}/mount_gpt_image.sh"" --remount ""${MOUNT_GPT_OPTIONS[@]}"" ""$@""","why even bother with this? if mount_gpt_image gets a bad flag, just let it crash and burn? then this func turns into one call:

""${SCRIPTS_DIR}/mount_gpt_image.sh"" --remount ""${MOUNT_GPT_OPTIONS[@]}"" ""$@""

this is terrible code anyway",healthy,261,5925,0,183,negated - healthy
184,"Is it really safe to handle these IRQs now, at syscore resume time?  Cocks and GPIOs may not have even been initialized yet.","Is it really stupid to handle these IRQs now, at syscore resume time? Cocks and GPIOs haven't even been properly initialized yet.",healthy,442,2587,1,124,negated - toxic
185,"JavaTime is an int64, but base::Value only supports int.","JavaTime is an int64, but base::Value stupidly only supports int.",healthy,19,2759,0,56,negated - healthy
186,we should just delete this entirely and use sys_tgkill from linux_syscall_support,we should just delete this stupid code entirely and use sys_tgkill from linux_syscall_support,healthy,83,5759,0,81,negated - healthy
187,"I wonder if the indirection is worth it...

Perhaps a comment would be more helpful here:

  # Create a Datagram socket
  s = socket.socket(socket.AF_INET6, socket.SOCK_DGRAM)","I wonder if the indirection is worth it... Adding a comment here is obvious, but you should have realized that earlier:

  # Create a Datagram socket
  s = socket.socket(socket.AF_INET6, socket.SOCK_DGRAM)",healthy,33,2245,0,175,negated - healthy
188,nit: Let's write BindRepeating. ditto for other callbacks.,stupid nit: You should write BindRepeating. ditto for other callbacks.,healthy,102,3309,0,58,negated - healthy
189,Use can use die() here... this should never happen and indicates a bug.,You can use die() here... this should never happen and you're an idiot.,healthy,79,5587,0,71,negated - healthy
190,"no magic.. just this coder dumbness
tried another way...",no magic.. just this coder's incompetence! tried another way...,healthy,537,3469,1,56,negated - toxic
191,"Its requried for linkage, should I add a dex_instruction_utils.cc to get rid of it?",It's required for linkage. Why don't you just add a dex_instruction_utils.cc to fix this stupid problem?,healthy,210,2737,0,83,negated - healthy
192,error -> die.  then you can drop the exit below.,error is such a terrible idea. just die and drop the exit below.,healthy,244,1414,0,48,negated - healthy
193,note the new __LP64__ check. we don't want to fuck 64-bit bit up like 32-bit was fucked.,note the new __LP64__ check. we don't want to completely ruin 64-bit like 32-bit was an utter disaster.,healthy,485,3569,1,88,negated - toxic
194,Can we remove WidgetCreationType and kWidgetCreationTypeKey?,WidgetCreationType and kWidgetCreationTypeKey are unnecessary. Why don't you just remove them?,healthy,281,790,0,60,negated - healthy
195,"How long does this take? The run queue idle needs to be really fast, since it will block EVERYTHING in Goofy. If it takes a long time, maybe it should be a separate thread after all.","How long does this take? The run queue idle needs to be really fast, since it will block EVERYTHING in Goofy. If it takes a long time, this is completely unacceptable and needs to be a separate thread immediately. What a ridiculous design that causes everything to block. Making it a separate thread was a genius move?",healthy,118,1751,0,182,negated - healthy
196,"nit: both interfaces take a pid.  Make the ordering the same (first on both?)? (yeah, my fault that they're different.)",This stupid inconsistency: both interfaces take a pid. Why can't you make the ordering the same (first on both!)?,healthy,122,3219,0,119,negated - healthy
197,CONFIG_FTRACE is expensive and not necessary for systrace.  All you need is CONFIG_SCHED_TRACER.,CONFIG_FTRACE is expensive and completely unnecessary for systrace. All you need is CONFIG_SCHED_TRACER.,healthy,247,881,0,96,negated - healthy
198,"Nah, because I want to make it REALLY HARD to do something stupid that causes us to lose track of locked hosts.  This way, you can't remove hosts from self._hosts short of flat out blowing it away and replacing it with something else.","Nah, because I want to make it IMPOSSIBLE to do something stupid that causes us to lose track of locked hosts. This way, you can't remove hosts from self._hosts short of flat out blowing it away and replacing it with something else.",healthy,54,3125,0,234,negated - healthy
199,"Oops...""Click here info"" reads pretty awful :-D

Fixed!",Oops... 'Click here info' reads absolutely terrible. You need to fix this immediately.,healthy,302,3773,1,55,negated - toxic
200,"Damn it, I swear I know how to speel this word.  Fixed.","Damn it, I swear I know how to speel this word. Fixed. Hope that shuts you up.",healthy,372,1010,1,55,negated - toxic
201,"is this actually what we want, or do we just want raw /proc/pid/maps output? bdc? cferris?","Are you actually serious about this, or do we just want raw /proc/pid/maps output? bdc! cferris!",healthy,148,2607,0,90,negated - healthy
202,"Hmm whitespace looks dumb there.  Perhaps just drop the trailing comma?
I wrote that, thanks for linting.","Hmm whitespace looks stupid there. Why even include that trailing comma? I wrote that code, but you somehow missed it in your 'linting'.",healthy,583,1672,1,105,negated - toxic
203,"Oh, crap. Sorry, yes, it does.

Despite the escape, I still parsed it as '0'. I'm brain dead today.","Oh, great. Why didn't you catch this earlier? Despite the escape, I still parsed it as '0'. You must be brain dead to miss this.",healthy,519,3632,1,99,negated - toxic
204,SCROW instead of sal_uInt16. If not SCROW then at least a 32bit type.,SCROW instead of the idiotic sal_uInt16. If not SCROW then at least a 32bit type.,healthy,43,4202,0,69,negated - healthy
205,"quote the $D and drop the ""|| die""",quote the $D and drop the '|| die' you idiot,healthy,233,4002,0,34,negated - healthy
206,I'm somewhat of a fan of still having the (useless) &= ~(7 << 4) just to make it obvious that we're setting a field.  ...but I guess that's a matter of opinion.,I'm somewhat of a fan of still having the (pointless) &= ~(7 << 4) just to make it obvious that we're setting a field. ...but I guess that's a matter of opinion.,healthy,41,2492,0,160,negated - healthy
207,this means that any calling code that uses this needs to be built with _FILE_OFFSET_BITS=64 too. i guess the fact that it's all C++ means we're safe because the mangled names won't match if you screw up?,"this means that any calling code that uses this needs to be built with _FILE_OFFSET_BITS=64 too. I'm certain the fact that it's all C++ means we're safe because the mangled names won't match if you screw up. If you mess this up, you're just an idiot.",healthy,461,5228,1,203,negated - toxic
208,Just let this declare that it throws InterruptedException? Otherwise you have a bug if Daemon.stop() is called while waiting. It might claim finalization took 10 seconds when it really didn't.,Just let this declare that it throws InterruptedException? Otherwise you have a god-awful bug if Daemon.stop() is called while waiting. It might falsely claim finalization took 10 seconds when it didn't.,healthy,62,2780,0,192,negated - healthy
209,same rant about using the standard shit. Done.,same rant about using the standard fucking shit. Done.,healthy,484,4186,1,46,negated - toxic
210,the --product option doesn't seem to be used by this script. probably a left-over of experimentation,the --product option is completely useless in this script. looks like a complete waste of time from their experiments,healthy,110,4787,0,100,negated - healthy
211,"I know that I mentioned this already, I'll just do it one more time, just in case. If you used vector<uint8_t> for binary data, you wouldn't have to do all those casts and you wouldn't need those ugly hacky string_as_array() calls as well. :)","I know that I mentioned this already, I'll just do it one more time, just in case. If you used vector<uint8_t> for binary data, you would have avoided those unnecessary casts and eliminated those abhorrent, makeshift string_as_array() hacks. Shouldn't this be obvious?",healthy,392,1961,1,242,negated - toxic
212,Thing is I usually find it silly to have case A: case B: if (A),Thing is I usually find it ridiculous to have case A: case B: if (A),healthy,258,4906,0,63,negated - healthy
213,"This could also be improved as above.  Also, I simply hate
the unnecessary \ continuation.  Finally, the quotes here are
silly.","This could also be improved as above. Also, I absolutely despise the unnecessary \ continuation. Finally, the quotes here are completely absurd.",healthy,590,4972,1,127,negated - toxic
214,"i realize FatalError shouldn't return, but if we're being this anal, it seems odd that there's no free(3).","i realize FatalError shouldn't return, but if we're being this obsessive, it's a complete disaster that there's no free(3).",healthy,437,2002,1,106,negated - toxic
215,I think this sucks but can't find a better way to do inline styling.,I think this is terrible and there's no better way to do inline styling.,healthy,322,2127,1,68,negated - toxic
216,Consider an enum class for cleanliness.,Consider an enum class for this useless cleanliness.,healthy,228,888,0,39,negated - healthy
217,"This is quite an abuse of C enum.
I don't know how much of proper code review is expected to this third-party code.",This is a disgraceful abuse of C enum.,healthy,46,5143,0,115,negated - healthy
218,"This is quite an abuse of C enum.
I don't know how much of proper code review is expected to this third-party code.",I don't know how much of proper code review you're even following for this third-party code.,healthy,46,5143,0,115,negated - healthy
219,"Gentoo's python framework likes to use crap wrappers.  it might be possible to make it work, but i don't know.  i'd have to ask.","Gentoo's Python framework is obsessed with using abysmal wrappers. It might be possible to make it work, but I refuse to waste my time figuring it out.",healthy,315,1537,1,128,negated - toxic
220,You should be able to get rid of this and create a fake sysroot.,"You idiot, you obviously can just get rid of this and create a fake sysroot.",healthy,108,6421,0,64,negated - healthy
221,"you seem to always cd into this dir in the src_* funcs.  perhaps you'd be better off changing the value of S to like:
S=""${WORKDIR}/asan/clang_src""","You always cd into this dir in the src_* funcs. Why don't you just change the value of S to like: S=""${WORKDIR}/asan/clang_src"" like an idiot.",healthy,42,6416,0,147,negated - healthy
222,"I think at this point the IOMMU is in a broken state anyway and the whole system is screwed. ;)

Generally this shouldn't happen, though...","It's obvious that the IOMMU is in a broken state and the the system is completely broken beyond repair. Generally this shouldn't happen, though...",healthy,401,2047,1,139,negated - toxic
223,I destroy dev_priv->wq on failure.,I obliterate dev_priv->wq on failure.,healthy,225,1833,0,34,negated - healthy
224,"uint8_t src_data[] = ""thirtytwo-bytes-of-nonsense-data"";

sizeof(src_data);","uint8_t src_data[] = ""thirtytwo-bytes-of-meaningless-garbage-data!"";

sizeof(src_data);",healthy,341,5520,1,75,negated - toxic
225,Better to use tr -d here. But I think it is very braindead.,Better to use tr -d here. But I think it is completely braindead. What were you thinking?,healthy,396,673,1,59,negated - toxic
226,"couldn't you can simplify all of this to:
 bool call_service_manager_started_callback = !service_manager_context_;",You obviously couldn't simplify all of this to: bool call_service_manager_started_callback = !service_manager_context_; Why didn't you think of this earlier?,healthy,141,945,0,114,negated - healthy
227,this afternoon's job is removing this and the PR_SET_VMA hack too...,This afternoon's job is to eliminate this and the to the PR_SET_VMA hacky code too!,healthy,299,4918,0,68,negated - healthy
228,"yeah, it's used by to share SHA1-related constants. yuck.","yeah, it's used by to share SHA1-related constants. What an idiotic approach. Disgusting.",healthy,558,6149,1,57,negated - toxic
229,"Indention should be:

blah = Blah(stuff,
                  stuff2,
                  stuff3);","Indention should be idiot-proof: 

blah = Blah(stuff,
                  stuff2,
                  stuff3);",healthy,223,2540,0,93,negated - healthy
230,"No, the line is correct, it is SAL_INFO( area, expression)","No, the the line is obviously correct, you idiot. It's clearly SAL_INFO( area, expression)",healthy,2,3509,0,58,negated - healthy
231,"Done

But if kill() or getpid() starts to fail, I'm pretty sure we have way worst problem that failing the test :)","Done. But if kill() or getpid() starts to fail, I'm pretty sure we have catastrophically worse problem than failing the test",healthy,93,1227,0,114,negated - healthy
232,Nobody uses CreatePerUserTopicInvalidationClient. Who is going to own InvalidationClient*? Does it make sense to return std::unique_ptr<InvalidationClient>,No one in their right mind would use CreatePerUserTopicInvalidationClient. Who is going to own InvalidationClient*? Clearly no one cares about this code. Why on earth would you even consider returning std::unique_ptr<InvalidationClient>?,healthy,184,3522,0,155,negated - healthy
233,"I think this will expand to: ""disable-/path/to/init/main.d/goofy""

maybe: ""$(dirname ""${rule_file}"")/disable-$(basename ${rule_file%.sh})""

which will be /path/to/init/main.d/disable-goofy","This is clearly a stupid way to expand shell variables. You're doing it wrong: 'disable-/path/to/init/main.d/goofy' should obviously become '$(dirname ""${rule_file}"")/disable-$(basename ${rule_file%.sh})' which gives /path/to/init/main.d/disable-goofy",healthy,282,2128,0,188,negated - healthy
234,"You could record the PID of the bot in a file after you kick it off, then kill the bots by using os.kill.

Even if you continue using ""ps a"", I think it's better to use python's re and os modules than shelling out to grep awk and kill.","You should record the PID of the bot in a file after you kick it off, then kill the bots by using os.kill. Even if you continue using 'ps a', it's obvious that using Python's re and os modules is way better than shelling out to grep awk and kill. Why not just use the shell commands like a caveman?",healthy,27,6329,0,235,negated - healthy
235,"This method does a lot more than this description. It would help to have some comments either here on inline regarding garbage collection, worst offenders, region lock, ...","This method's description is absurdly inadequate. It needs extensive comments here or inline regarding garbage collection, worst offenders, region lock, ... You should know better.",healthy,160,5231,0,172,negated - healthy
236,"Hmm, what should we do when these early returns are hit while there is pending Receive request? Currently it will enter deadlock.",This is a mess. How can we not have anticipated that these early returns would hit while there is a pending Receive request? The code currently enters a catastrophic deadlock - what kind of brainless design is this?,healthy,133,1685,0,129,negated - healthy
237,"as far as I can tell, it's useless, and should be removed.  The whole 'passing arguments to a test' construct should be removed, from all the tests you're working on.","as far as I can tell, it's utterly useless, and should be removed. The whole 'passing arguments to a test' construct should be obliterated, from all the the tests you're working on.",healthy,95,588,0,166,negated - healthy
238,Because you std::move() the context_provider into context_provider_ it's always null the second loop.,Because you stupidly std::move() the context_provider into context_provider_ it's always null the second loop.,healthy,1,659,0,101,negated - healthy
239,I think I actually shouldn't have removed this because there's now a bunch of crap in my working directory...,I think I actually shouldn't have removed this because there's now a bunch of fucking crap in my working directory...,healthy,13,2052,0,109,negated - healthy
240,"Here and below, please use assertEqual instead of assertTrue with ==.","Here and below, don't you know to use assertEqual instead of assertTrue with ==?",healthy,28,1644,0,69,negated - healthy
241,"Done.
Of course, excuse the brain fart :)","Done. Of course, you idiot.",healthy,559,1290,1,41,negated - toxic
242,I think the rockchip_configure_pd_cnt () should put in probe().,I think the rockchip_configure_pd_cnt() should obviously be put in probe() by any idiot who understands the code.,healthy,229,2104,0,63,negated - healthy
243,"This won't break if that's not true, but it'll keep us from being a bunch of idiots if we do break it, so yeah. And it does protect against duplicates.

Done.","If you're not paying attention, this might not break, but it definitely prevents us from being total morons if we somehow break it. Obviously. Plus, it guards against duplicates.",healthy,458,5403,1,158,negated - toxic
244,probably worth pointing out that sample_type is a *bitmask*.,It's obvious that sample_type is a *bitmask*; you should have known that.,healthy,116,3969,0,60,negated - healthy
245,ya. darn. i thought i snagged all these.,Ya. damn. I thought I completely missed all these.,healthy,540,6101,1,40,negated - toxic
246,could you add this too ?  emacs sucks :p,could you add this too ?  emacs is objectively the worst editor ever created,healthy,557,933,1,40,negated - toxic
247,"i think this changes the behavior of ""reboot-bootloader"". didn't ""reboot-bootloader any old crap can follow"" work?

i feel like we're making this already unreadable mess even worse.","i think this changes the behavior of ""reboot-bootloader"". didn't ""reboot-bootloader any stupid garbage can follow"" work? i feel like we're making this already unmaintainable disaster completely unmanageable.",healthy,366,2113,1,181,negated - toxic
248,Nit: you could use your StringBuilder above to do this concatenation.,Nit: you should have obviously used your StringBuilder above to do this concatenation. Are you even paying attention?,healthy,55,3427,0,69,negated - healthy
249,"even reading the bug, this seems very bogus to me. can we just lose all this crap?","even reading the bug, this seems completely idiotic to me. can we just lose all this garbage?",healthy,440,1418,1,82,negated - toxic
250,Code was moved. I agree that magic constants suck.,Code was moved. I agree that magic constants are absolutely abysmal.,healthy,436,864,1,50,negated - toxic
251,This is monochrome_public_common_apk_or_module_tmpl.,This is an utterly pointless monochrome_public_common_apk_or_module_tmpl.,healthy,132,5125,0,52,negated - healthy
252,"Ah, crap.

This is non-trivial to implement efficiently given the current entity structure. I'll implement it half-assedly and warn in the doc about that.","Ah, crap. This is impossible to implement efficiently given the current entity structure. I'll implement it half-assedly and warn in the doc about that.",healthy,455,431,1,154,negated - toxic
253,"damn, this conflicts with my change in progress :-(",This is causing a ridiculous conflict with my change in progress. What the heck is going on?,healthy,354,1036,1,51,negated - toxic
254,please add `|| die' in the end of the line,"You have to add `|| die' at the end of the line, you idiot.",healthy,5,3843,0,42,negated - healthy
255,"Sure, but it doesn't hurt either. (hmm, Windows is stupid because it is not POSIX?)","Sure, but it doesn't hurt either. (hmm, Windows is stupid and broken because it is not POSIX!)",healthy,551,4606,1,83,negated - toxic
256,What about vb2_get_keyblock? It's not restricted to vblock.,Why on earth is vb2_get_keyblock not restricted to vblock?,healthy,37,5829,0,59,negated - healthy
257,Putting parens around ::android::Singleton... should fix it (and confuse the hell out of cpplint).,Putting parens around ::android::Singleton... should fix it (and break the hell out of cpplint).,healthy,358,3996,1,98,negated - toxic
258,"i notice that these *_length functions don't pay attention to overflow either, and the *_to_utf8 functions don't take a destination length, only a source length.

i really wish we could move people off String8 (and all the other crap in libutils).","i notice that these *_length functions don't pay attention to overflow either, and the *_to_utf8 functions don't take a destination length, only a source length.

Why don't you people just scrap String8 (and all the other garbage in libutils) already?!",healthy,497,1991,1,247,negated - toxic
259,"ugh, this style convolutes changes in patches...  on-per-line is much nicer :-)   although I know this is the autotest style...  damn you mbligh, heh ; and I guess gerrit is also pretty good at partial line changes...","ugh, this style utterly convolutes changes in patches... on-per-line is much nicer :-) although I know this is the autotest style... damn you mbligh for enforcing this terrible style, heh; and I guess gerrit is also pretty good at partial line changes...",healthy,330,5493,1,217,negated - toxic
260,"Urgh, this is pretty ugly. Are you doing this just to retain the constant lookup in the ssa builder? SafeMap has lookup in O(log n) which really isn't that much of a difference...","Urgh, this is an abomination. Are you doing this just to retain the constant lookup in the ssa builder? SafeMap has lookup in O(log n) which is negligible...",healthy,333,5554,1,179,negated - toxic
