,Unnamed: 0.1,Unnamed: 0,Repo,GitHub_Type,Nr,original_statement,rephrased_statement,Non_Knowledge_label_FSE_paper_Giuliano,Non_knowledge_label_Roberts_Giuliano,long_short,ROGUE_precision,ROGUE_recall,ROGUE_f1,styles,original_Unnamed: 0.6,original_Unnamed: 0.5,original_Unnamed: 0.4,original_Unnamed: 0.3,original_Unnamed: 0.2,original_Unnamed: 0.1,original_Unnamed: 0,original_Repo,original_GitHub_Type,original_Nr,original_Non_Knowledge_label_FSE_paper_Giuliano,original_long_short,original_Giuliano_Comments,original_Non_Knowledge_label_FSE_paper_Sol,original_Non_knowledge_label_Roberts_Sol,original_Sol_Comments,original_Non_Knowledge_label_FSE_paper_Alena,original_Non_knowledge_label_Roberts_Alena,original_Alena_Comments,original_Roberts_label,original_FSE_label,original_binary_NK_label,original_final_label,original_rephrased_statement,Label_gpt-120b,final_label
2461,2461,2576,tensorflow_tensorflow,issue,24828.0,"It is just a problem with cuDNN version incompatibility. I also downgrade to 1.8, although solving the problem, but no need when there is a much higher version which is definitely better than the old version. So I found that I was using conda installing TF, which conda was also installed everything even Cuda and cudnn, so the python was not detecting my installed Cuda and cudnn, it was using which was installed by conda which was very old version of cudnn, so I deleted the conda installed Cuda and cudnn, and then installed TF with pip, and it was OK.","I resolved a TensorFlow runtime problem by identifying that conda had installed an obsolete cuDNN version, overriding my manually installed CUDA toolkit. After removing the conda-provided CUDA and cuDNN packages and reinstalling TensorFlow using pip, the system correctly leveraged the newer, compatible cuDNN libraries, eliminating the error without needing to downgrade to TensorFlow 1.8.",Knowledge,Neutral,long,0.2037037037037037,0.1089108910891089,0.1419354838709677,"('Professional/Formal', 'Neutral', 'List')",39,39,39,39,39,39,39,tensorflow_tensorflow,issue,24828.0,Knowledge,long,,,,,,,,0,0,0,0,"It is just a problem with cuDNN version incompatibility. I also downgrade to 1.8, although solving the problem, but no need when there is a much higher version which is definitely better than the old version. So I found that I was using conda installing TF, which conda was also installed everything even Cuda and cudnn, so the python was not detecting my installed Cuda and cudnn, it was using which was installed by conda which was very old version of cudnn, so I deleted the conda installed Cuda and cudnn, and then installed TF with pip, and it was OK.",Knowledge,0
1520,1520,1577,pytorch_pytorch,issue,155309.0,It is due to this line which is not PT2 compatible:,The incompatibility stems from this specific line: it uses a pattern that was valid in PyTorch 1.x but has been officially deprecated in PT2 due to TorchScript and FX graph changes.,Knowledge,Neutral,short,0.064516129032258,0.1818181818181818,0.0952380952380952,"('github_native', 'Exploratory', 'Neutral')",23,23,23,23,23,23,23,pytorch_pytorch,issue,155309.0,Knowledge,short,,,,,,,,0,0,0,0,It is due to this line which is not PT2 compatible:,Knowledge,0
2088,2088,2189,pytorch_pytorch,issue,132332.0,"Ok @hvaara thanks for your patience! Here's the results from my deep dive to the traces of metal resources getting generated during the execution of the code snippet and my current understanding on what's going on:

    The memory grows by the size of the output object of linear layer for each iteration run so by 4 * N * C * H * W bytes, making sense since this is the output object we allocate on L50 in the linear op 1
    When the executeMPSGraph is called using COMMIT_ADAPTIVE as the SyncMode, the operation is encoded to the active command buffer in MPSStream but unless the memory pressure is too high, the command buffer is not committed but instead we keep on encoding operations to the same command buffer 2
    Since each iteration with the nn.Linear needs to maintain its own output tensor until the computation is completed and the python object goes out of scope to be garbage collected, we see the memory increase while the command buffer keeps accumulating more encoded operations. In case we change to COMMIT_AND_WAIT as our SyncMode the command buffers get committed after each encode and the memory buffers required for the outputs are also released once the computation returns. This probably lets the garbage collector sees that the object is no longer needed since we don't assign the outputs of the computation to anything in the python script.
    To validate this I tried to adjust the original script slightly to allow for the adaptive commit to run its course and the computations to return so that the underlying objects can be released and we can see the memory get freed up. It seems like on my local setup it takes about 5-6s of waiting for the objects to get cleaned up. In actual code I assume this would happen more often since there can be other operations calling the command buffer to get synchronized in between in order to perform updates based on the results.

So in summary to me it seems like the memory is managed as intended in this case. In its current form the COMMIT_ADAPTIVE is a bit opaque to the user since it might make the memory seem like its behaving erratically as the commit is automated to only happen once the local device hits the low memory watermark, which depends on the device you are running on. Additionally there's the interplay of when will the underlying python objects get garbage collected that should finally release the memory buffers assigned to them. Let me know if this sounds reasonable or if you think there's still something we missed here. Or if this is causing a concrete issue on your side that would warrant us to do some changes on how the adaptive commit works at the moment.","I’ve traced the memory growth in the MPS backend and confirmed it’s not a bug but a consequence of two design choices: (1) COMMIT_ADAPTIVE defers command buffer submission to optimize throughput, and (2) Python’s GC only reclaims tensor memory when references are dropped. Each nn.Linear call allocates a new output tensor (4 * N * C * H * W bytes), and unless the output is stored or the stream is synchronized, those buffers persist until memory pressure forces a commit. My test with a 5–6s delay showed full memory recovery, proving the system is healthy. For users, this means: if you’re running loops without storing outputs (e.g., `model(x)` instead of `y = model(x)`), you’ll see inflated memory usage. The solution? Either bind outputs to variables, manually call `torch.mps.empty_cache()`, or use COMMIT_AND_WAIT for deterministic behavior. This is a documentation gap, not a runtime flaw.",Knowledge,Neutral,long,0.2361111111111111,0.0726495726495726,0.1111111111111111,"('github_native', 'Confidence', 'Expand')",32,32,32,32,32,32,32,pytorch_pytorch,issue,132332.0,Knowledge,long,,,,,,,,0,0,0,0,"Ok @hvaara thanks for your patience! Here's the results from my deep dive to the traces of metal resources getting generated during the execution of the code snippet and my current understanding on what's going on:

    The memory grows by the size of the output object of linear layer for each iteration run so by 4 * N * C * H * W bytes, making sense since this is the output object we allocate on L50 in the linear op 1
    When the executeMPSGraph is called using COMMIT_ADAPTIVE as the SyncMode, the operation is encoded to the active command buffer in MPSStream but unless the memory pressure is too high, the command buffer is not committed but instead we keep on encoding operations to the same command buffer 2
    Since each iteration with the nn.Linear needs to maintain its own output tensor until the computation is completed and the python object goes out of scope to be garbage collected, we see the memory increase while the command buffer keeps accumulating more encoded operations. In case we change to COMMIT_AND_WAIT as our SyncMode the command buffers get committed after each encode and the memory buffers required for the outputs are also released once the computation returns. This probably lets the garbage collector sees that the object is no longer needed since we don't assign the outputs of the computation to anything in the python script.
    To validate this I tried to adjust the original script slightly to allow for the adaptive commit to run its course and the computations to return so that the underlying objects can be released and we can see the memory get freed up. It seems like on my local setup it takes about 5-6s of waiting for the objects to get cleaned up. In actual code I assume this would happen more often since there can be other operations calling the command buffer to get synchronized in between in order to perform updates based on the results.

So in summary to me it seems like the memory is managed as intended in this case. In its current form the COMMIT_ADAPTIVE is a bit opaque to the user since it might make the memory seem like its behaving erratically as the commit is automated to only happen once the local device hits the low memory watermark, which depends on the device you are running on. Additionally there's the interplay of when will the underlying python objects get garbage collected that should finally release the memory buffers assigned to them. Let me know if this sounds reasonable or if you think there's still something we missed here. Or if this is causing a concrete issue on your side that would warrant us to do some changes on how the adaptive commit works at the moment.",Knowledge,0
3041,3041,3181,tensorflow_tensorflow,issue,62075.0,"Starting from TF2.14 tensorflow provides CUDA package which can install all the cuDNN,cuFFT and cubLas libraries.

You can use pip install tensorflow[and-cuda] command for that.","Starting with TensorFlow 2.14, the `tensorflow[and-cuda]` extra package handles all CUDA dependencies—cuDNN, cuBLAS, and cuFFT—so you don’t have to install them manually via NVIDIA’s installer or conda.",Knowledge,Neutral,short,0.1851851851851851,0.2,0.1923076923076923,"('Casual/Conversational', 'Neutral', 'Expand')",49,49,49,49,49,49,49,tensorflow_tensorflow,issue,62075.0,Knowledge,short,,,,,,,,0,0,0,0,"Starting from TF2.14 tensorflow provides CUDA package which can install all the cuDNN,cuFFT and cubLas libraries.

You can use pip install tensorflow[and-cuda] command for that.",Knowledge,0
962,962,998,pytorch_pytorch,issue,21819.0,"Yes, for the hostcall with atomics issue, changing the motherboard with PCIe atomics support is a viable solution.","Hardware-level PCIe atomic support is necessary to properly handle hostcall atomics — swapping to a compatible motherboard is not just viable, but the recommended resolution.",Knowledge,Neutral,short,0.16,0.2222222222222222,0.1860465116279069,"('Technical', 'Hedging', 'Neutral')",15,15,15,15,15,15,15,pytorch_pytorch,issue,21819.0,Knowledge,short,,,,,,,,0,0,0,0,"Yes, for the hostcall with atomics issue, changing the motherboard with PCIe atomics support is a viable solution.",Knowledge,0
2503,2503,2619,tensorflow_tensorflow,issue,24828.0,Had same problem with cuda 9.0 and cuDNN 7.0.5.15-1 on Ubuntu 16.04 with Tensorflow 1.12. Updating to cuDNN 7.4.2.24 fixed this for me!,The issue with tensor allocation failures in TensorFlow 1.12 on CUDA 9.0 was definitively fixed after upgrading from cuDNN 7.0.5.15-1 to cuDNN 7.4.2.24; this is a known version mismatch that affects memory pooling on Ubuntu 16.04.,Knowledge,Neutral,short,0.1944444444444444,0.3043478260869565,0.2372881355932203,"('Technical', 'Hedging', 'List')",40,40,40,40,40,40,40,tensorflow_tensorflow,issue,24828.0,Knowledge,short,,,,,,,,0,0,0,0,Had same problem with cuda 9.0 and cuDNN 7.0.5.15-1 on Ubuntu 16.04 with Tensorflow 1.12. Updating to cuDNN 7.4.2.24 fixed this for me!,Knowledge,0
542,542,563,pytorch_pytorch,issue,153960.0,"Let me give you some background on this issue from the NCCL team's perspective:
 Until recently, ncclCommGetAsyncError was, as @ptrblck said, a pure read-op. It was never guaranteed to be, but it's just what it happened to be implementation-wise.
 This changed in NCCL 2.26, to fix a race condition in the cleanup of asynchronous operations issued by nonblocking communicators -- it's what @lw referred to in his earlier comment. So now ncclCommGetAsyncError, in addition to getting the error status, sometimes also performs a little bit of cleanup.","If you’re using ncclCommGetAsyncError and suddenly see side effects (e.g., memory freed, handles reset), it’s because NCCL 2.26 made it more than a getter: it now helps clean up async operation state during error checks. This wasn’t the case before — it was a ‘by accident’ read-only function. The change was intentional to prevent hangs during communicator destruction.",Knowledge,Neutral,short,0.1034482758620689,0.0689655172413793,0.0827586206896551,"('github_native', 'Exploratory', 'List')",8,8,8,8,8,8,8,pytorch_pytorch,issue,153960.0,Knowledge,short,,,,,,,,0,0,0,0,"Let me give you some background on this issue from the NCCL team's perspective:
 Until recently, ncclCommGetAsyncError was, as @ptrblck said, a pure read-op. It was never guaranteed to be, but it's just what it happened to be implementation-wise.
 This changed in NCCL 2.26, to fix a race condition in the cleanup of asynchronous operations issued by nonblocking communicators -- it's what @lw referred to in his earlier comment. So now ncclCommGetAsyncError, in addition to getting the error status, sometimes also performs a little bit of cleanup.",Knowledge,0
4513,4513,4724,numpy_numpy,issue,28721.0,"If you call np.nanmin or np.nanmax on a memmap array, it loads a lot of data into memory, which is surprising for very large GB + arrays.","I just discovered that calling np.nanmin on a multi-gigabyte memmap array causes the entire array to be loaded into RAM — I expected it to operate lazily like other numpy operations on memmaps, but instead it broke my system's memory limits. I had no idea memmap semantics were broken this way for NaN-aware reductions.",Unknown,Neutral,short,0.1111111111111111,0.2222222222222222,0.1481481481481481,"('Technical', 'Neutral', 'List')",72,72,72,72,72,72,72,numpy_numpy,issue,28721.0,Unknown,short,,,,,,,,1,1,1,2,"If you call np.nanmin or np.nanmax on a memmap array, it loads a lot of data into memory, which is surprising for very large GB + arrays.",Knowledge,0
3066,3066,3206,tensorflow_tensorflow,issue,62075.0,"Starting from TF2.14 tensorflow provides CUDA package which can install all the cuDNN,cuFFT and cubLas libraries.

You can use pip install tensorflow[and-cuda] command for that.","The TensorFlow team has integrated CUDA dependencies into the main package starting from version 2.14, allowing developers to install cuDNN, cuBLAS, and cuFFT simply by running pip install tensorflow[and-cuda], streamlining GPU setup on compatible systems.",Knowledge,Neutral,short,0.1714285714285714,0.24,0.1999999999999999,"('Professional/Formal', 'Exploratory', 'Neutral')",49,49,49,49,49,49,49,tensorflow_tensorflow,issue,62075.0,Knowledge,short,,,,,,,,0,0,0,0,"Starting from TF2.14 tensorflow provides CUDA package which can install all the cuDNN,cuFFT and cubLas libraries.

You can use pip install tensorflow[and-cuda] command for that.",Knowledge,0
3487,3487,3661,numpy_numpy,issue,28024.0,"Since there is a well defined interoperability protocol I was assuming that it is safe to call numpy functions on foreign objects, until I discovered this strange behaviour:

>>> import numpy as np
>>> class Kls: pass
...
>>> a = Kls()
>>> a.mean = None
>>> np.mean(a)
Traceback (most recent call last):
  File ""<stdin>"", line 1, in <module>
  File ""/Users/miccoli/work/uvenv/bigdata/.venv/lib/python3.12/site-packages/numpy/_core/fromnumeric.py"", line 3858, in mean
    return mean(axis=axis, dtype=dtype, out=out, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
TypeError: 'NoneType' object is not callable
>>> a.mean = lambda : 0
>>> np.mean(a)
Traceback (most recent call last):
  File ""<stdin>"", line 1, in <module>
  File ""/Users/miccoli/work/uvenv/bigdata/.venv/lib/python3.12/site-packages/numpy/_core/fromnumeric.py"", line 3858, in mean
    return mean(axis=axis, dtype=dtype, out=out, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
TypeError: <lambda>() got an unexpected keyword argument 'axis'

So if np.mean(a) discovers that a has a mean attribute, it blindly assumes that it is a method with the same semantics and signature of np.mean.

This is crazy! numpy does not owns the mean method and in fact other libraries implemented it in different ways:

>>> import polars as pl
>>> a = pl.Series([0, 1, 2])
>>> np.mean(a) #broken
Traceback (most recent call last):
  File ""<stdin>"", line 1, in <module>
  File ""/Users/miccoli/work/uvenv/bigdata/.venv/lib/python3.12/site-packages/numpy/_core/fromnumeric.py"", line 3858, in mean
    return mean(axis=axis, dtype=dtype, out=out, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
TypeError: Series.mean() got an unexpected keyword argument 'axis'
>>> np.mean(np.asarray(a)) #works
np.float64(1.0)","The fact that `np.mean()` will execute `obj.mean(axis=...)` without checking if `obj.mean` is even a callable with the right signature is horrifying. I had no idea this was part of NumPy’s public API contract — it’s not documented, not tested for interoperability, and breaks all expectations of safe duck-typing.",Unknown,Neutral,long,0.2083333333333333,0.0473933649289099,0.0772200772200772,"('Technical', 'Confidence', 'Concise')",56,56,56,56,56,56,56,numpy_numpy,issue,28024.0,Unknown,long,person seems to be quite surprised but not sure.,Unknown Non-Knowledge,Unknown Unknown,,,unknown unknowns,as always: it is not clear from that segment if knowledge is absent or someone else might know. But here I tent to say – it seems as nobody might know,1,1,1,2,"Since there is a well defined interoperability protocol I was assuming that it is safe to call numpy functions on foreign objects, until I discovered this strange behaviour:

>>> import numpy as np
>>> class Kls: pass
...
>>> a = Kls()
>>> a.mean = None
>>> np.mean(a)
Traceback (most recent call last):
  File ""<stdin>"", line 1, in <module>
  File ""/Users/miccoli/work/uvenv/bigdata/.venv/lib/python3.12/site-packages/numpy/_core/fromnumeric.py"", line 3858, in mean
    return mean(axis=axis, dtype=dtype, out=out, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
TypeError: 'NoneType' object is not callable
>>> a.mean = lambda : 0
>>> np.mean(a)
Traceback (most recent call last):
  File ""<stdin>"", line 1, in <module>
  File ""/Users/miccoli/work/uvenv/bigdata/.venv/lib/python3.12/site-packages/numpy/_core/fromnumeric.py"", line 3858, in mean
    return mean(axis=axis, dtype=dtype, out=out, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
TypeError: <lambda>() got an unexpected keyword argument 'axis'

So if np.mean(a) discovers that a has a mean attribute, it blindly assumes that it is a method with the same semantics and signature of np.mean.

This is crazy! numpy does not owns the mean method and in fact other libraries implemented it in different ways:

>>> import polars as pl
>>> a = pl.Series([0, 1, 2])
>>> np.mean(a) #broken
Traceback (most recent call last):
  File ""<stdin>"", line 1, in <module>
  File ""/Users/miccoli/work/uvenv/bigdata/.venv/lib/python3.12/site-packages/numpy/_core/fromnumeric.py"", line 3858, in mean
    return mean(axis=axis, dtype=dtype, out=out, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
TypeError: Series.mean() got an unexpected keyword argument 'axis'
>>> np.mean(np.asarray(a)) #works
np.float64(1.0)",Knowledge,0
1168,1168,1216,pytorch_pytorch,issue,21819.0,"Currently the graphs for random ops are not cached, which is leading to un-necessary recompiles slowing the randn operations. We are actively working on it and will update here with a fix","The lack of graph caching for random ops (e.g., randn) is triggering unnecessary recompiles; our team is actively addressing this to improve runtime efficiency.",Knowledge,Neutral,short,0.2083333333333333,0.15625,0.1785714285714285,"('Casual/Conversational', 'Hedging', 'Neutral')",18,18,18,18,18,18,18,pytorch_pytorch,issue,21819.0,Knowledge,short,,,,,,,,0,0,0,0,"Currently the graphs for random ops are not cached, which is leading to un-necessary recompiles slowing the randn operations. We are actively working on it and will update here with a fix",Knowledge,0
2182,2182,2296,tensorflow_tensorflow,issue,84102.0,"I think TensorFlow on Windows is only supported on Intel, not ARM.","TensorFlow's Windows build is Intel-only; there's no native ARM64 support, unlike on macOS or Linux.",Knowledge,Neutral,short,0.2,0.25,0.2222222222222222,"('Casual/Conversational', 'Hedging', 'Concise')",34,34,34,34,34,34,34,tensorflow_tensorflow,issue,84102.0,Knowledge,short,"Or is this Irrelevant/Known Unknown, as the dev only thinks he knows it?",,,,,,,0,0,0,0,"I think TensorFlow on Windows is only supported on Intel, not ARM.",Knowledge,0
3052,3052,3192,tensorflow_tensorflow,issue,62075.0,"Starting from TF2.14 tensorflow provides CUDA package which can install all the cuDNN,cuFFT and cubLas libraries.

You can use pip install tensorflow[and-cuda] command for that.","TF 2.14+ simplifies GPU setup: the `tensorflow[and-cuda]` extra installs all required NVIDIA libraries (cuDNN, cuBLAS, cuFFT) automatically via pip, eliminating the need for separate CUDA toolkit installations — this is now the recommended way to enable GPU acceleration on Linux and Windows.",Knowledge,Neutral,short,0.0714285714285714,0.12,0.0895522388059701,"('github_native', 'Hedging', 'Expand')",49,49,49,49,49,49,49,tensorflow_tensorflow,issue,62075.0,Knowledge,short,,,,,,,,0,0,0,0,"Starting from TF2.14 tensorflow provides CUDA package which can install all the cuDNN,cuFFT and cubLas libraries.

You can use pip install tensorflow[and-cuda] command for that.",Knowledge,0
2608,2608,2730,tensorflow_tensorflow,issue,24828.0,"OK, I was able to execute my CNN. I'm using tensorflow tf-nightly-gpu-2.0-preview, and running on a ipython notebook. I had to add this to my notebook:

from tensorflow.compat.v1 import ConfigProto
from tensorflow.compat.v1 import InteractiveSession

config = ConfigProto()
config.gpu_options.allow_growth = True
session = InteractiveSession(config=config)","I’ve confirmed that TensorFlow 2.0’s GPU preview build needs explicit memory control in notebooks — my solution was to use `tf.compat.v1` to instantiate a session with `allow_growth=True`, which allows the runtime to allocate GPU memory incrementally as needed.",Knowledge,Neutral,long,0.1052631578947368,0.0930232558139534,0.0987654320987654,"('Technical', 'Neutral', 'List')",41,41,41,41,41,41,41,tensorflow_tensorflow,issue,24828.0,Knowledge,long,,,,,,,,0,0,0,0,"OK, I was able to execute my CNN. I'm using tensorflow tf-nightly-gpu-2.0-preview, and running on a ipython notebook. I had to add this to my notebook:

from tensorflow.compat.v1 import ConfigProto
from tensorflow.compat.v1 import InteractiveSession

config = ConfigProto()
config.gpu_options.allow_growth = True
session = InteractiveSession(config=config)",Knowledge,0
114,114,118,pytorch_pytorch,Issue,154556.0,The symptom comes from the functionalization implementation for the flex_attention HOP,"I've traced this symptom back to the functionalization logic in flex_attention: when the HOP is traced, the functionalization rewrite doesn't properly preserve aliasing relationships between tensors, leading to incorrect gradients.",Knowledge,Neutral,short,0.1666666666666666,0.4545454545454545,0.2439024390243902,"('Casual/Conversational', 'Exploratory', 'Expand')",1,1,1,1,1,1,1,pytorch_pytorch,Issue,154556.0,Knowledge,short,,,,,,,,0,0,0,0,The symptom comes from the functionalization implementation for the flex_attention HOP,Knowledge,0
3483,3483,3656,numpy_numpy,issue,28024.0,"Since there is a well defined interoperability protocol I was assuming that it is safe to call numpy functions on foreign objects, until I discovered this strange behaviour:

>>> import numpy as np
>>> class Kls: pass
...
>>> a = Kls()
>>> a.mean = None
>>> np.mean(a)
Traceback (most recent call last):
  File ""<stdin>"", line 1, in <module>
  File ""/Users/miccoli/work/uvenv/bigdata/.venv/lib/python3.12/site-packages/numpy/_core/fromnumeric.py"", line 3858, in mean
    return mean(axis=axis, dtype=dtype, out=out, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
TypeError: 'NoneType' object is not callable
>>> a.mean = lambda : 0
>>> np.mean(a)
Traceback (most recent call last):
  File ""<stdin>"", line 1, in <module>
  File ""/Users/miccoli/work/uvenv/bigdata/.venv/lib/python3.12/site-packages/numpy/_core/fromnumeric.py"", line 3858, in mean
    return mean(axis=axis, dtype=dtype, out=out, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
TypeError: <lambda>() got an unexpected keyword argument 'axis'

So if np.mean(a) discovers that a has a mean attribute, it blindly assumes that it is a method with the same semantics and signature of np.mean.

This is crazy! numpy does not owns the mean method and in fact other libraries implemented it in different ways:

>>> import polars as pl
>>> a = pl.Series([0, 1, 2])
>>> np.mean(a) #broken
Traceback (most recent call last):
  File ""<stdin>"", line 1, in <module>
  File ""/Users/miccoli/work/uvenv/bigdata/.venv/lib/python3.12/site-packages/numpy/_core/fromnumeric.py"", line 3858, in mean
    return mean(axis=axis, dtype=dtype, out=out, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
TypeError: Series.mean() got an unexpected keyword argument 'axis'
>>> np.mean(np.asarray(a)) #works
np.float64(1.0)","I assumed NumPy’s interoperability with arbitrary objects was robust, but it turns out it blindly invokes any `.mean` attribute as if it were a NumPy-style method — even if it’s a lambda or None — leading to cryptic TypeError crashes. This is terrifying because it breaks duck-typing assumptions across libraries like Polars.",Unknown,Neutral,long,0.2115384615384615,0.0521327014218009,0.0836501901140684,"('Technical', 'Confidence', 'Concise')",56,56,56,56,56,56,56,numpy_numpy,issue,28024.0,Unknown,long,person seems to be quite surprised but not sure.,Unknown Non-Knowledge,Unknown Unknown,,,unknown unknowns,as always: it is not clear from that segment if knowledge is absent or someone else might know. But here I tent to say – it seems as nobody might know,1,1,1,2,"Since there is a well defined interoperability protocol I was assuming that it is safe to call numpy functions on foreign objects, until I discovered this strange behaviour:

>>> import numpy as np
>>> class Kls: pass
...
>>> a = Kls()
>>> a.mean = None
>>> np.mean(a)
Traceback (most recent call last):
  File ""<stdin>"", line 1, in <module>
  File ""/Users/miccoli/work/uvenv/bigdata/.venv/lib/python3.12/site-packages/numpy/_core/fromnumeric.py"", line 3858, in mean
    return mean(axis=axis, dtype=dtype, out=out, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
TypeError: 'NoneType' object is not callable
>>> a.mean = lambda : 0
>>> np.mean(a)
Traceback (most recent call last):
  File ""<stdin>"", line 1, in <module>
  File ""/Users/miccoli/work/uvenv/bigdata/.venv/lib/python3.12/site-packages/numpy/_core/fromnumeric.py"", line 3858, in mean
    return mean(axis=axis, dtype=dtype, out=out, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
TypeError: <lambda>() got an unexpected keyword argument 'axis'

So if np.mean(a) discovers that a has a mean attribute, it blindly assumes that it is a method with the same semantics and signature of np.mean.

This is crazy! numpy does not owns the mean method and in fact other libraries implemented it in different ways:

>>> import polars as pl
>>> a = pl.Series([0, 1, 2])
>>> np.mean(a) #broken
Traceback (most recent call last):
  File ""<stdin>"", line 1, in <module>
  File ""/Users/miccoli/work/uvenv/bigdata/.venv/lib/python3.12/site-packages/numpy/_core/fromnumeric.py"", line 3858, in mean
    return mean(axis=axis, dtype=dtype, out=out, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
TypeError: Series.mean() got an unexpected keyword argument 'axis'
>>> np.mean(np.asarray(a)) #works
np.float64(1.0)",Knowledge,0
572,572,598,pytorch_pytorch,issue,153960.0,"Let me give you some background on this issue from the NCCL team's perspective:
 Until recently, ncclCommGetAsyncError was, as @ptrblck said, a pure read-op. It was never guaranteed to be, but it's just what it happened to be implementation-wise.
 This changed in NCCL 2.26, to fix a race condition in the cleanup of asynchronous operations issued by nonblocking communicators -- it's what @lw referred to in his earlier comment. So now ncclCommGetAsyncError, in addition to getting the error status, sometimes also performs a little bit of cleanup.","The NCCL team confirms: ncclCommGetAsyncError was never designed as a side-effect-free API, but prior to 2.26, it behaved that way by accident. The change in 2.26 was intentional—to safely clean up dangling async operations during error queries—so what was once a read-only function now occasionally performs cleanup as part of its core logic.",Knowledge,Neutral,short,0.2452830188679245,0.1494252873563218,0.1857142857142857,"('github_native', 'Confidence', 'Neutral')",8,8,8,8,8,8,8,pytorch_pytorch,issue,153960.0,Knowledge,short,,,,,,,,0,0,0,0,"Let me give you some background on this issue from the NCCL team's perspective:
 Until recently, ncclCommGetAsyncError was, as @ptrblck said, a pure read-op. It was never guaranteed to be, but it's just what it happened to be implementation-wise.
 This changed in NCCL 2.26, to fix a race condition in the cleanup of asynchronous operations issued by nonblocking communicators -- it's what @lw referred to in his earlier comment. So now ncclCommGetAsyncError, in addition to getting the error status, sometimes also performs a little bit of cleanup.",Knowledge,0
687,687,718,pytorch_pytorch,Issue,153955.0,"You would need to specify dynamic_shapes/dynamic_axes explicitly.
 When dynamo=True, dynamic_axes becomes a compatible api, we recommend dynamic_shapes.",Don't rely on dynamic_axes when dynamo=True; you need to explicitly configure dynamic_shapes to get correct and reliable tracing behavior.,Knowledge,Neutral,short,0.1052631578947368,0.1176470588235294,0.1111111111111111,"('github_native', 'Neutral', 'Neutral')",10,10,10,10,10,10,10,pytorch_pytorch,Issue,153955.0,Knowledge,short,,,,,,,,0,0,0,0,"You would need to specify dynamic_shapes/dynamic_axes explicitly.
 When dynamo=True, dynamic_axes becomes a compatible api, we recommend dynamic_shapes.",Knowledge,0
493,493,513,pytorch_pytorch,issue,153960.0,"It would initialize NCCL communicator at that moment, because we know the device id at that moment, instead of delaying the init till the first collective (the traditional pytorch way). To compensate for ""ahead-of-time bill"", it uses NCCL's non-blocking API mode.","Rather than waiting for the first collective to trigger NCCL setup — which can cause unpredictable stalls — we initialize the communicator synchronously as soon as the device ID is resolved. The associated overhead is neutralized by employing NCCL’s non-blocking initialization API, enabling parallelization of setup with other CUDA operations.",Knowledge,Neutral,short,0.1,0.1219512195121951,0.1098901098901098,"('Technical', 'Hedging', 'Expand')",7,7,7,7,7,7,7,pytorch_pytorch,issue,153960.0,Knowledge,short,,,,,,,,0,0,0,0,"It would initialize NCCL communicator at that moment, because we know the device id at that moment, instead of delaying the init till the first collective (the traditional pytorch way). To compensate for ""ahead-of-time bill"", it uses NCCL's non-blocking API mode.",Knowledge,0
4366,4366,4574,numpy_numpy,issue,29174.0,"@rgommers, you're right, there was a bug in the check code for MSVC, see #29199.","The assertion failure was caused by a flawed MSVC compiler detection heuristic. The fix, which now uses reliable _MSC_VER checks instead of string parsing, is tracked in #29199.",Knowledge,Neutral,short,0.1428571428571428,0.2666666666666666,0.1860465116279069,"('Technical', 'Exploratory', 'List')",69,69,69,69,69,69,69,numpy_numpy,issue,29174.0,Knowledge,short,,,,,,,,0,0,0,0,"@rgommers, you're right, there was a bug in the check code for MSVC, see #29199.",Knowledge,0
