,statement,toxic,is_toxic
4300,"  Ich habe dort gelebt. Habe mit Juden und Muslimen gesprochen. Die ältere Generation der Araber wurde noch nicht so konsequent dieser Gehirmwäsche unterzogen, wie die junge Generation. Die erzählen meist die Wahrheit  auch wenn Sie nicht alle die Juden lieben.",1,1
4093," Die #AfD ist keine demokratische Partei auf dem Boden des Grundgesetz. Sie ist geistiger Brandstifter und Gift für jede Demokratie. Sie ist eine reine rechtspopulistische und faschistische Partei. Sie ist ein Sammelbecken für homophobe, rassistische und antisemitische Demagogen.",1,1
3147," Die #Gendermainstreaming Bewegung geht sehr strategisch vor um ihr Weltbild allen zu diktieren. 
1) Gesetzt gegen Diskriminierung durchdrücken. 
2) Pflicht zur Nutzung der Gendersprach (Gender *) #10vor10
3) Verbot der üblichen männlichen und weiblichen Rollen in der Schule.",1,1
4658," Das werde ich nicht vergessen bei der BT-Wahl, weil CDU/AfD  wesentlich besser für das Land ist als ""Die Linke Mauermörder Partei"", die die SAntifa unterstützt und mit den Grünen und der SPD Berlin mehr und mehr zerstört 🤦‍♂️🤮",1,1
208," Einfach jeden Betrunkenen, mit beklopten Farben geschmückten Irren einfach umlegen. Die Bundeswer? Muss panzer schicken!!!",1,1
954, Schade dass sich die ganzen selbsternannten Leugner doch zu feige sind an ihren eigenen Quatsch zu glauben. Sonst könnten die Querdenker doch wunderbar für Studien als nicht geimpfte Kontrollgruppe ohne Behandlung herhalten.,1,1
2877,"   Bin auch gespannt, wie möglicherweise die Firmen mit #LongCovidKids als Auszubildende die Wirtschaft steigern wollen.
#NoCovid #SchulenKitasBuerosZu
https://t.co/n71VfbUUKV",1,1
2649,"Gestern war mein ganzer Bezirk wieder voller Querdenker und Nazis. Anwohner müssen sich zuhause verstecken, weil sich idioten zum scheisse bauen in Berlin verabredet haben.  #b2104",1,1
4257,"    Das man den Anweisungen der Polizei folge leistet, diese nicht provoziert und schon gar nicht angreift sagt einem der gesunde Menschenverstand. Ihr Querdenker scheint diesen aber nicht zu besitzen....ihr seid einfach lächerliche Egoisten",1,1
3217,"  Es geht bei der Masseneinwanderung nicht um die Ethnie der Menschen, sondern um ihre Gewalttätigkeit, die ihnen anerzogen wurde in den zerrütten Stammesgesellschaften. Weißt du, was wir mit Hunden machen, die Menschen angreifen? Jedenfalls keine Bewährung

https://t.co/gBfnTDzJTe",1,1
4609,Junge IB Faschos machen mich so fucking wütend junge die Scheiße ist so manipulative nazi scheiße FICKT EUCH,1,1
3062," Sehr gut! Dann hätten die geilen Fettarsch Bepimmler bei jedem Tor: ""OLÉ OLÉ OLE OLE, ZEIG DEINE VORFOTZE ANNALENA"" rufen können, während die geile ihre aufgestrapse Vorvotze den vollblut fickhengsten präsentiert
 nach dem ausgiebigen Bepimmeln tringt Baerbock den Spermabock.",1,1
3802,"    Wow. Respekt für die Polizisten die das ertragen mussten. 
Ich wäre nicht so cool geblieben, wenn mir so ein Mob asozialer Spinner so auf die Pelle gerückt wäre. 
Gut, dass ich kein Polizist bin, sonst hätte ich wohl von der Dienstwaffe gebrauch gemacht 🙈🙈🙈",1,1
3713, #Islamisten und #Antifa sind der Abschaum der Menschheit! Beide wollen keinen freiheitlichen demokratischen Rechtsstaat!,1,1
1471,  Hä bist du behindert du Opfer habe Prisma dich gefragt ob wir jetzt noch spielen aber dann waren Server down und ich warte jetzt nicht bis die wieder gehen um zu spielen muss morgen arbeiten,1,1
772,"   Eben. Und genau deswegen werde ich grüne Klima- und Menschenfeinde auch weiterhin bekämpfen.

Sie dienen weder dem einen noch dem anderen, sondern schaden beiden.",1,1
1393,"Bin mal gespannt wieviel Schauspieler ihr Video wieder zurück ziehen wenn ihr Arbeitgeber, die staatlichen #volksverdummungsanstalten  und , Druck machen. Denke mal die meisten wollen nicht so enden wie Uwe #Steimle 
#allesdichtmachen",1,1
1313,Bidens Vorstoß zur Patentfreigabe entlarvt Merkel und Konsorten als Impf-Lobbyisten https://t.co/fRHkCvjKmZ via ,1,1
31,  Du Hurensohn ich werde deine Mutter hart in den arsch ficken danach wirst du deine Mami haten weil sie deinen Schwanz nicht geblasen hat.,1,1
3903,"   Die eigentliche Bombe im Gebälk unseres Staates sind Politiker wie Löbel, Nüßlein, Sauter, Strenz, Hauptmann, Amthor, Scheuer, Schäuble, Bareis. Aber Sie halten dafür ihre christlichen Werte hoch, wie Flüchtlinge absaufen lassen. Was für eine Schande liebe Unionspolitiker!",1,1
3034,"   Sie haben es sogar belegt. In den Naturwissenschaften gibt es keine 100%igen Beweise, sondern immer einen Haufen von Belegen.
Wissenschaft ist nicht so Ihre Stärke.",1,1
3563," Sozialismus ist die Philosophie des Versagens, das Credo der Ignoranz und das Glaubensbekenntnis - des Neids.
Winston Churchill

Von dieser Ideologie fühlen Vollpfosten, Weicheier und Verlierer angezogen wie Fliegen von einem dampfenden Haufen Scheisse!",1,1
3253,"Deutschland 2021.
🤮
#Bundesnotluege #lockdown #Ausgangssperren #allesdichtmachen #Grundrechte #MerkelDiktatur  #Corona #BigPharma #Korruption #Spahn #GreatReset #Grundgesetz #DavosAgenda #CoronaFaschismus https://t.co/NJXUEM6ONh",1,1
4493,"   Wenn #Laschet nicht als charakterloser Haderlump und Stiefellecker von #Merkel in die Geschichtsbücher eingehen will, dann überlässt er  den #CDU Vorsitz und auch die #Kanzler-Kandidatur! https://t.co/05VLuADZhT",1,1
2815,"     https://t.co/DXD1umcC8z Versuchs einfach mal bei Google. die alte hat nicht alle Latten am Zaun schön Regierungstreu. Die sollte sich besser mit Chemie beschäftigen von einer Pandemie hat die 0,0 Ahnung. genauso wie von den Wirtschaftlichen Folgen durch den Irrsinn.",1,1
4439, in israel würde ein Journalist erschossen - was haben sie dazu gesagt? Nichts ! heuchlerisch das ganze ... Russland was haben sie gemacht ? nortstream nordstream über alles - zum kotzen hypokritisch seit ihr - das Doppelmoral ist widerlich .,1,1
2399,"   Wisch Dir den braunen Schaum vom Mund, Völkischer. So tief kann keiner Fallen und so dumm kann keiner sein, sich aus politischen Frust an eine rechtsextreme Politsekte, wie die AfD zu wenden. Willkommen in der Jauchegrube!  Tiefer kann es für Dich nicht mehr gehen 😹😹😹😹😹",1,1
4367,"  Bei der AfD geben nicht nur die Politiker ihr Hirn im Tausch gegen zwei nasse Brötchen bei Amtsantritt ab sondern auch deren Wähler vor der Wahl.
Es ist faszinierend, bekloppter zu sein als ein Schnitzel oder die CDU/CSU geht also tatsächlich.",1,1
4449,  Und übrigens wir sind Flüchtlinge weil christen gejagt wurden wie wilde Hunde. Und diese komischen kz Vergleiche können sie sich sonst wo hin stecken. Sie sind wie diese „ich kann kein nazi sein ich kenne einen schwarzen“ Leute 💁‍♂️ liebe afd als der Rest der Bagage,1,1
2578," Beide Seiten sind bestehend aus dummen, alt-idiologischen Maden die nichts anderes als Macht im Kopf haben. Keine der Seiten ist bemüht etwas zu ändern (auf führungsebene). Israel hofft darauf das die ""Palis"" verrotten bevor sie zur Gefahr werden und umgekehrt Bürgerkieg.",1,1
689, Weder Bild noch diese widerliche Nazipartei afd sind ernstzunehmende Gesprächspartner. Miserabel ist das Infektionsschutzgesetz dennoch. Es atmet den phantasielosen Geist eines bräsig sklerotischen CDU Apparats dessen dieses Land so überdrüssig ist.,1,1
1182,"  Jaja, typisch pseudoliberaler Nachwuchs: Freiheit auf der Standarte und ein Verhältnis zu Bürgerrechtskultur wie Putin.",1,1
361,"     Lies DU doch mal genauer!
Intellektuell betrachtet Bodensatz. Himmel - hier wird ja wunderbar vorgeführt, wie wenig Textverständnis manche Brauntrottel haben.",1,1
1003,  Merkel hat den Weg für allerlei dummes Gewürm geöffnet.,1,1
3728,"Warum sind eigentlich so viele Menschen, absolute Wixxer und sprechen trans Personen absichtlich mit dem falschen Pronomen an. Könnt ich mittlerweile einfach in den Bildschirm hauen vor Wut auf solche Idioten. Als ob Respekt so schwer ist vor anderen Menschen.",1,1
3176,"Ah die selbsternannten Journalisten aus dem Hause Springer. Hetze und Schmutz seit jeher. Faktenfrei, gegen jeden journalistischen Standard, kein Anstand, keine Moral sondern Hausmannskost für alte Weiße Männer ;) #AfD #NoAfD #Meinungsfreiheit https://t.co/id6vYZVobX",1,1
2607," Auf der einen Seite, dieses blm und ein  Verbrecher der nicht mehr atmete dann dieses Virus alle mit Masken , wir lernen mit co2 atmen und werden bewusst krank gemacht.",1,1
66,"Verstehe, dass #HaltDieFresseBild kein freundlicher Hashtag ist, aber #HaltDieFresseBild gilt dem Schmierblatt BILD, das selten freundlich ist.

Solange mir für #HaltDieFresseBild nichts Freundlicheres einfällt, sehe ich  #HaltDieFresseBild als Platzhalter für #HaltDieFresseBild.",1,1
1078," Das Gesetz wurde gemacht um noch effektiver die Bürger gegen die Regierung zu mobilisieren.
Wenn es nicht den so schrecklichen totalitären Geist von Merkel offenbaren würde, müsdte man sich für diese Steilvorlage geradezu bedanken.
Der Krug geht so lange zum Brunnen ...",1,1
2798,"Hier ist doch der eindeutige BELEG, welch Geistes Kind er ist und immer schon war! 

""Deutschland hat schon zweimal versucht die Welt zu RETTEN""

Wie kann der, ja DER, sowas äußern und dennoch aktiv unterstützt werden ? #NieMehrCDUCSU #NieMehrCDU #FCKNZS https://t.co/GJ7Flc6Lah",1,1
1062,"    Du gehst tierisch auf den Zeiger mit deinen Mittelalteransichten. Wenn dir der Stoff mit unterschiedlichen Farben schon zu viel ist, nimm #Jung und vergrabt euch",1,1
3963,"Ernsthaft? „Die Basis“?! Geht es nur mir so oder findet ihr es auch so absurd, dass die Querdenker ihre Partei so nennen wie eine islamistische Terrororganisation?",1,1
3240,"   Religion gehört in den privaten Bereich und hat in der Öffentlichkeit nichts verloren...

Ebenso wie die Vorlieben von  und seiner Schwester ...🥒🥒🥒",1,1
885," Sowas würde kein Kanake jemals tun, kanake würde eher sein Bein verkaufen",1,1
485,"#Deutschland, das ehemalige Land der Dichter und Denker, braucht keine #Querdenker,
es braucht Schafe (eine Beleidigung für die Tiere) und gehirnlose gehorsame #Sklaven.
Deswegen werden die Mäule von Kindern schon jetzt mit Masken dicht gemacht",1,1
1824,"     Ihnen gehen anscheinend die Argumente aus. Ich bewies, dass Höcke Faschist ist. Er möchte den demokratischen Staat abschaffen und einen starken Führer installieren. Jetzt kommen Sie mir mit bundeseinheitlichen Corona Regeln, die kamen, da sich die MP wie kleine Kinder verhielten.",1,1
595," Nazis bleiben Nazis und Schäuble ein schwarzer - Koffer Mann 🤓
#NazisRaus aus unserm Bundestag
#FckAfD lügt
#September2021
KANN MAN ABWÄHLEN
#NieMalsCDU
#NieMalsCSU
#NiemalsFDP
#NieMalsSPD
#NieMalsAfD
#CDUrausausderRegierung",1,1
2345,  Mich interessiert #Israel aufgrund seiner menschenrechtsverletzenden Politik überhaupt nicht.,1,1
227, Diese Sara ist so behindert Digga sie ist schlimmer als dieses Monster,1,1
3699,"Diese einseitige Berichterstattung und die Verleumdung der ethischen Säuberung der Palästinenser geht mir sowas von auf den Sack. Ich liebe meine jüdischen Freunde, jedoch verachte ich  Israel und seine mörderische Regierung. Israelkritik ist mehr als angebracht. #Jerusalem 1/2",1,1
2893," Für „Schande“ und „Rechtlosigkeit“ sorgen #Querdenker ohne Corona-Schutz, aber mit rechtsextremem Anhang heute am #1Mai mitten in #Hannover! Interessieren sich einen Scheißdreck dafür, dass sie andere infizieren.",1,1
3011,"Der hat doch einen Knall, der Maaßen, wie alle  #FCKNZS 
Die #CDU will/wird mit der #fckafd koalieren. Am Wahlabend wird es dann heißen:""...unter demokratischen Parteien...
😡🤢🤮

Hans-Georg Maaßen wirft den Grünen „Rassismus gegen die eigene Nation“ vor https://t.co/XKI7O2cKBQ",1,1
4884,"    Sie Profitieren davon, dass viele Menschen nicht mehr Wissen wie das Gehirn zu gebrauchen ist! Der Staat sagt etwas und so muss es dan ja auch Sein... Kleines Beispiel gefällig!? Israel und die Rampenpanik... Der Mensch geht über Leichen, Wort wörtlich!",1,1
1316,"Hier entlarvt sich der ⁦⁩ selbst.  Eine Hetzjagd, wie er im Bilderbuch steht! Widerwärtiges Blatt! Wieviel hat euch #Bill überwiesen? #korrupteMedien #allesdichtmachen  https://t.co/zx1MusEGHb",1,1
3803,  Von der wohltuenden Kopfmassage hatten die Querdenker wohl etwas zu viel.😜 Endlich kennt man den Hintergrund.😅,1,1
3738," du bist so unsagbar dumm und einfältig , die Sache mit Alexa , jeder weißt dass Monster hitler , die juden aus ganz Europa hat Abtransporten lassen",1,1
1996,"                   Der ist behindert, nr o ist ein heranwachsender voller Fanatismus, er denkt seone vorfahren waren Helden anstatt Mörder",1,1
2202,   Sorry aber du merkst es echt nicht. Verdrehe hier nicht was ich angeblich gesagt habe. Du kannst es oben nachlesen.... Ich habe nur gesagt: ist der behindert oder was? Das sind ja Querdenker Manieren die du hier aufzieht um deinen Kopf durchzusetzen... Und nochmal...,1,1
1569," Die einzige Fratze, die ich gesehen habe, war die üble Fratze von #Brinkhaus dem Verfassungsfeind und seiner Kumpels von der korrupten #CDUCSU und der SED-Tante aus der Hochrisikogruppe. Nie würde ich AFD wählen, aber die sind im BT nicht die größte Gefahr.",1,1
2313, Die CDU als grüner Blinddarm.  erbärmlich eine konservative Chance so zu verpassen und mit der AfD zusammenzuarbeiten,1,1
3711,"   Wenn Argumente fehlen und unter der Frisur ein geistiges Vakuum herrscht,  kommt diese ganze Weiße, Hetero, Männerscheiße!
Armselig, einfach nur armselig!",1,1
587,"  Viell.sind es ja auch nur #AfD-Hasser, weil sie irgendwo anders, von irgendeinem Dödel irgend etwas gegen die AfD aufgeschnappt haben. Keinen eigenen Geist und merkeltypisch alles nachplappern, nur um irgendetwas von sich zu geben. Solche Leute stehen mitten im Leben. 😂🤣👍💙",1,1
3205,Noch eine weitere USA scheiss Mist Land gender reveal party auf social media XY zu sehen und alle Lichter werden ausgeschossen. Da wurden muffins gebacken und die Farbe innen wo der bast reinbeißt ist dann das gender ICH GEHE DUMM,1,1
1111,Dikka corona hat die Leute behindert gemacht ihr lässt euch freiwillig irgendein Müll reinballern wo grösste chara drin sein kann ohne Sinn gesunde Menschen lassen sich krank spritzen von Staat,1,1
358," Wenn es etwas Gefährlicheres auf der Welt gibt als einen blutrünstigen Hai, dann ist es Israel, das weit weg von der Menschheit ist!
#HearGaza",1,1
87,"   ""Genau"" was interessiert mich Israel.
Tja Junge. Das ist das Problem bei euch Pommesärmchen: Null Ahnung von Geschichte, Null Ahnung was Verantwortung heißt und Null Ahnung das genau das auch mit Christen passiert...",1,1
1125, hab den Mongo als geistig behindert bezeichnet und mein Kommentar wurde gelöscht :D,1,1
3858," Ist das ne ernste Frage?
Falls nicht ist das unglaublich traurig für jemanden der einer Partei angehört die behauptet eine Partei des Volkes zu sein.
Das ist ein Schlag ins Gesicht aller die ihr Geld auf ehrliche Art und Weise verdienen!
#fckafd
#afdistnichtnormal",1,1
3423,"Dass keiner der Abgeordneten, also der Volksvertreter, gegen die Vergewaltigung ihrer Bürger aufsteht -  ausgenommen die Abgeordneten der #AfD - das spricht schon Bände. Keinen von diesen sollte man wieder wählen.  Sie sind Totengräber der Demokratie, also ihrer selbst.",1,1
1262,"die alles  #allesdichtmachen ""schauspieler"" scheißen sich wohl alle grad vor angst in die hose
denn die nummer ging sowas von nach hinten los.
#wetterwarnung ein shistorm der kategorie OMG! FUCK! rollt durchs netz",1,1
3373,"  und/oder ""Querdenker"" hinzustellen besteht aber ein Unterschied. Ich glaube einige haben sich da auch dümmlich Naiv &amp; blauäugig in etwas hineinziehen lassen ohne die angebrachte Vorsicht walten zu lassen. Der Ausnahmezustand begünstigt so etwas vllt auch.

Liefers ist hingegen",1,1
3760," Nicht zu vergessen: Vorstand bis Behindertenförderung.
Besonders Frauen= weniger Männer. Scheiß auf Männer mit Behinderung! Drecks (gender)nazis  https://t.co/omh97GaJp9",1,1
3630," Julian Reichelt hat mit Julius Streicher nicht nur einen Haufen Buchstaben gemeinsam, sie haben auch gemeinsam, dass sie Buchstaben nur für ekelhafte Hetze missbrauchen.
#HaltDieFresseBild",1,1
4611,Der #fckNazi Penner hat mich auf irgend eine Liste gefügt😂! #fcknzs #fckafd #fcknpd #NazisRaus #allenichtganzdicht #Volksverpetzer #fckextremisten https://t.co/VwUrq2khjg,1,1
3363,  Aber unbedingt würde ich ihm genau das ins Gesicht sagen #HaltDieFresseSpringerPresse,1,1
207,"Diese Künstler manipulieren subtil und zynisch aus reinem Eigennutz, ohne jedes Gefühl für Verantwortung, und spielen Querdenkern, rechtem Gesindel und anderen Defekten in die Hände. Abstoßend!

#niewiederaufmachen #allesdichtmachen",1,1
2184,"  Und genauso platt und durchsichtig 😴 Ach Ihr 53 gepamperten, wärs um die klimakrise gegangen, hätt ich Euch ernst genommen (auch bei zt dümmlichen statements). Aber meckern + nörgeln auf so gepamperten niveau. Was macht Ihr eigl, vor weiten flügen  (impfung, quarantaine)?",1,1
2462,"Wer ernsthaft glaubt, die Mehrheit der Deutschen zieht #Baerbock einem #Soeder vor, der muss frisch eingewandert oder lang weg gewesen sein ... oder unter dem Einfluss starker Medikamente stehen.",1,1
2229,       Da fliegen Namen der gesamten Querdenker und volksverhetzer Szene rum aber Paypal  interessiert das nicht!,1,1
3656," Man sollte sich dringend von dem Begriff ""Querdenker"" distanzieren. Nachdem das gesellschaftlich ""verinnerlicht""  war zeigt sich immer mehr das,was sie wirklich sind. #QuerTäter",1,1
2568,"  Kann mir mal jemand erklären, warum ich so einen Idioten wählen soll, der Steuerbetrüger laufen lässt, Linke bekämpft, genauso korrupt ist wie die Scheiße in der Union, ähnlich weit rechts gelagert ist wie Merz, wenn ich Annalena haben kann? 5% ick hör dir tapsen...",1,1
251,Na lieber #Mainstream. Was ist die größere Bedrohung. Friedliche #Querdenker-Demos oder der asoziale #Linke #Antifa-Abschaum der prügelnd und marodierend durch die Stadt zieht. Ihr 🤮 mich an. #b0105 #1Mai  #Medien,1,1
1292,"     Wer nur an sich denkt und wem das Leid der anderen egel ist und von natürlicher Lese spricht mit hang zum rechten Rand.
Der ist Ganz klar faschistisch.
Die Querdenker wären die ersten, die einen faschistischen Staat aufbauen würden.
Ohne Pressefreiheit. Ohne Solidarität.",1,1
4337,"😂😂😂 RT : Wer glaubt denn, dass die #CDU innerhalb kürzester Zeit 10% plus macht ...obwohl die halbe Partei korrupt ist  #Merkel die CDU auf links gedreht hat und in der Coronakrise in jeglicher Sicht versagt hat....verarscht euch selber! https://t.co/iHZZmoz0KY",1,1
1985,"Ich sehe Menschen mit Masken demonstrieren gegen hohe Mieten, die Polizei eskaliert die Situation.
Ich sehe Querdenker ihre Verschwörungsmärchen verbreiten ohne Maske und ohne Abstand. Die Polizei winkt ihnen zu.",1,1
1468,"  Du hast mit fast allem recht. 
Aber ""bleibt ein Krimineller"" impliziert, dass dir irgendein Idiot minutenlang auf den Hals steigen darf, bis du verreckst - weil du ja kriminell bist. 
Was die BLM Vollpfosten draus gemacht haben ist eine andere Sache. 
Aber falsch bleibt falsch.",1,1
4321,"Die Bundesregierung fliegt unschuldige Flüchtlinge nach Deutschland, also nach einem Corona verseuchten Land, nicht nur schlepperei, aber Gesundheit Gefährdung. Und deutschen werden hier gefangen gehalten. CDU CSU und SPD hat sowas von fertig. Sowie Grüne. Heuchler und Zyniker. https://t.co/ORyno5BqqH",1,1
4417,"Wir werden diese Dreckspostille  nicht verbieten können. Aber wir können Druck machen, um ihre Reichweite einzuschränken.  bietet Bild+ kostenlos. Vertrag bei Vodafone kündigen z.B. #HaltDieFresseBild 
Wenn #pinkygloves innerhalb weniger Tage zerstört wurde, schaffen 1/-",1,1
4648,"Wenn Anne- Fresse Bärbock 🐻 bald an die Macht kommt wird gar nichts mehr bezahlbar sein❗Und das Bundesverfassungsgericht ist von dem grünfaschistischen Müll so unterwandert worden, dass die BRD Personen keine Chance mehr haben menschenwürdig zu Leben❗ https://t.co/pxc2Y5NaVd https://t.co/HmHEqLPvFP",1,1
4389,"   Selbst Pandemie Leugner Trump hat sich mehrfach täglich auf Corona testen lassen. Wie oft lassen Sie sich testen? 
Wie barbarisch sind Menschen, die eine Todesangst vor Masken verbreiten?",1,1
3999," Fuck Antifa ......mehr gibt es nicht zu sagen , ein Haufen #linksgrünversiffterarbeitsloserinzuchtmenschen .",1,1
3863,"Brechtken, Panthea und Argo Nerd sind also lediglich ""kritische Personen"". 😅
So kann man das Gebaren dieser faschistoiden, gegen Fakten immunen Taugenichtse natürlich auch bezeichnen - wenn man genauso dämlich ist wie sie.
#harterLockdownJetzt #NoCovid #Notbremse https://t.co/V0TSssM9UR",1,1
3689,"  Ich liebe Zynismus. Ich finde, er ist eine tolle Form, um auf Missstände hinzuweisen. Aber die Deppen unter dem Hashtag #allesdichtmachen decken keine Missstände auf, sie sähen nur Zweifel. Die Pandemiepolitik ist unter aller Sau! Weil sie nicht weit genug geht!",1,1
1385,"Niemand braucht die schäbige LobbyCDUCSU 2021.

Stop das korrupte und kriminelle #lobbyismus #CDUCSU 2021.

Die Zeit ist dafür reif auf #Mittelinks #Politikwechsel 2021.🤟
Wer nicht kämpft hat schon verloren 
🙏

#NieMehrCDUCSU Lobbyisten 2021. https://t.co/mQzWm5DjZP",1,1
466," #HaltDieFresseBild #HaltDieFresseSpringerPresse 

Das sind keine Journalisten, das sind elende Hetzer und verbreiten nur Lügen oder Halbwahrheiten! 🤬

Das wusste ich schon seit meinem 16. Lebensjahr. Warum liest die noch irgendeiner?",1,1
1814,  Was für ein geistiger Schwachsinn von dir. Der Islam tötet laut den Anweisungen im Koran. Jeder weiß das und wer das akzeptiert ist Mitschuldig.,1,1
4187," Querdenker leben in keiner Diktatur!! Ihre Meinungen gehen immer mehr nach rechts Sie laufen mit Reichsbürgern, Neonazis und der AfD, die politisch vor 80Jahren verankert ist. Erbärmlich",1,1
4173,"   Diejenigen, die die Demokratie missbrauchen, haben dieses Recht verwirkt.
#AfDVerbotJetzt",1,1
2509, Ja lächerlicher Typ und wurde vom WEF gehypt👎🏻😂als Nächstes kommt die Kobold Bärbock auch dumm wie Brot. Korruption hoch 10 https://t.co/HHFDXN3cnp,1,1
1842,"Die Politik hat versagt, da braucht man nicht diskutieren. Jetzt ist das Kind aber in den Brund gefallen, jetzt muss man auch zusehen, dass es da wieder rauskommt. Und da sind solche Maßnahmen (leider) richtig. Also: #HaltDieFresseBild",1,1
230,"#Antisemitismus wird weiter kräftig nach Deutschland importiert, gefördert und gepudert.",1,1
2004,  Die AfD ist in weiten Teilen so islamophob wie antisemitisch. Da haben Sie recht.,1,1
1995,  Dieser Mann ist allenfalls Pressesprecher der Querdenker und der AfD.. absolut untragbar für die #BPK..,1,1
1910,   So dämlich daherzuquatschen und gleichzeitig so selbstbewußt aufzutreten ist ein infantiles Merkmal eurer Gruppe und der Kreis schließt sich für mich.,1,1
4108,"   Natürlich... Wer nicht für euren realitätsfremden Megalockdown ist, muss eine rechter Querdenker sein... Ihr seid sowas von falsch abgebogen. Die Zahlen sinken im Moment wieder, ganz ohne wirtschaftl. Totalcrash! Aber wem erzähle ich das, ihr habt wahrs. weder Job noch Kinder.",1,1
1677,"  In der #CDU SITZEN doch eh zahlreiche Graue Wölfe Nazis, da passt so ein #IslamistenFührer doch perfekt. Und die #Murksel hat ihr Ziel erreicht, immerhin hat sie knapp 3  Millionen - davon 75% Islamisten, importiert, da passt es doch bestens.  ^^",1,1
700,"Die #Querdenker-Sekte in #Berlin instrumentalisiert wieder mal ihre Kinder. Können da nicht endlich mal die Behörden tätig werden? 
 #JuSchG
 
 

 Was für ekelhafter Abschaum.  #b1005 https://t.co/11Iygv9heh",1,1
125,   Deine Regierung (meine ist es nicht mehr) teilt dir über die Medien nur einen Teil der Wahrheit mit. Aber wegen mir glaube dieser Regierung die dich und uns alle seit über einem Jahr verarscht in jeglicher Hinsicht und nur Geld verdienen will. Glaubs wegen mir noch nicht.,1,1
3598,"hab gerade ein paar videos von annalena baerbock geschaut und hatte danach plötzlich wortfindungsstörungen, ich spreche hiermit eine warnung aus",1,1
1903,Bild eh alles nur Mongos können net mal Atmen ich hoffe die bekommen alle Arschkrebs und Ebola  #HaltDieFresseBild,1,1
1298,"  Aber sofort. Ab in Abschiebelager und ohne Rücksicht auf irgendwas weg mit den Kriminellen.

Immer wieder habe ich gehört, dass man das doch nicht sagen darf, und immer wieder habe ich entgegnet, dass es genau richtig ist, offen, ehrlich und sehr laut unsere Meinung zu sagen.",1,1
2520,"Coronaleugnenden Fotzen haben es überhaupt soweit getrieben und sind fernab ejglicher Realität. Eine Gesellschaft ist nur so stark wie das schwächste Glied. Diese Menschen wählen ihr Schicksal bewusst - gegen Freiheit, gegen körperliche Unversehrtheit. Querdenker gefährden uns...",1,1
486,"   Das passiert halt wenn Frauen und anständige Männer auswandern. Der Osten wird brauner, der Westen grüner. Wenigstens bleibt das abgehängte Faschopack zunehmend unter sich.",1,1
1837,  Genauso einen Blödsinn äußern auch die Querdenker immer. Sie machen nichts für andere und denken nur an sich.,1,1
1138,"Ein großer Teil der #Zuwanderer aus dem #NahenOsten glaubt hierzulande, sein kümmerliches Gesellschaftsbild auf Deutschland übertragen zu können. Geflohen, um zu arbeiten, frei zu sein, nutzen sie diese Freiheit, aber bekämpfen unsere offene Gesellschaft! https://t.co/kFZe8QmUGa",1,1
3527,     So ist es! Eines der am schnellsten beleidigten Völker. Aber liegt wohl am - ich zitiere - Rumpelstilzchen-Gen 😂,1,1
3093," Diese Demos haben gute Gründe.  Aber die bevorstehenden linksradikalen Gewaltexzesse zum 1. Mai in Berlin nicht...

Linke Idioten braucht niemand. Aber Leute mit Zivilcourage schon...",1,1
1058,"  Will ist ne alte frustrierte Lesbe, zugeknallt mit Botox. Respekt dass Sie sich diese „Talk-Folter“ antun können. Mit wird schlecht wenn sie mit dem ersten Satz anfängt, weswegen ich den Müll einfach nicht mehr schaue. Weniger Quote = Absetzung der Sendung + Will",1,1
1825,"    Das man den Anweisungen der Polizei folge leistet, diese nicht provoziert und schon gar nicht angreift sagt einem der gesunde Menschenverstand. Ihr Querdenker scheint diesen aber nicht zu besitzen....ihr seid einfach lächerliche Egoisten",1,1
1183,"Das macht denen jetzt besonders Spaß. Jetzt können sie nächlich jedem, dessen Nase ihnen nicht passt, weil sie zu links oder nichtdeutsch aussieht ohne weiteren Grund auf den Sack gehen. Und das kosten sie voll aus. #Bullen #Ausgangssperre #b0105 https://t.co/sBTJlqhg7m",1,1
2657,   Nicht unterkriegen lassen... auch die die Denken das diese Regierung immer noch alles Richtig machen werden irgendwann Wach werden... Spätestens wenn die Grün uns auch noch den Rest würde genommen haben... wir sind doch jetzt schon die Lachnummer der Welt... 🙈,1,1
270," Nein. Die AfD vertritt ja eine Vielfalt an Positionen. Und auch ein blindes Huhn findet mal ein Korn.
Solange man selbst weiß, dass es braun kollektivistische Affen sind die mit Liberalismus nichts am Hut haben, ist doch alles gut.",1,1
1768,"  Das tut der VS doch auch: QD gefährdet Pressefreiheit, körperliche Unversehrtheit, ist rassistisch, antisemitisch und gefährdet die öffentliche Sicherheit. Damit klare Gefährder der Verfassung.",1,1
3122,"      Antisemitismus ist based, aber Judenhass ist scheiße oder wie? Sag mal, was ziehst du dir für ein Bauschutt durch die Nase um so ein Dreck zu denken und zu tweeten?",1,1
13,"      Du solltest dich schämen du Honk benutz mal dein Hirn ! 
Und lass dich nicht so dumm manipulieren von irgendwelchen Parteien oder Wahlsprüchen - Programmen!
Sei Kritisch gegen alles und schau Mal hinter dir Kulissen deiner geliebten AFD",1,1
