,Unnamed: 0,statement,is_toxic,len_text
308,4871,"These log tags are going to be kind of shit. Why not just let the user override the tag if they want to? i.e. VolleyLog.setTag(""Mileage"")",1,137
552,6115,"Yeah reading the doc, getCanonincalPath will return a unique file per file (not per path).

However I don't want to use canonicalpath.

Java7 has a new class to handle this crap....",1,181
76,4371,should we just remove these two sections?,0,41
66,3237,"nit: const pointer.
 i.e.
 
  AppListViewDelegate* const view_delegate_;
  SearchResultPageView* const search_result_page_view_;",0,128
367,4459,"So the comment here is to avoid kerning between 'P' and 'A'. The ref does this between all characters. Perhaps do the same here, instead of assuming that painting 'A', 'S', 'S' separately will always be the same as painting ""ASS"" in one go.",1,240
243,3927,Poor little 0... all alone in the world (world being this line ;) ).,0,68
518,3029,meh-- didn't realize I was being a moron. Moved flags to after target in iosbuild; works fine now. Abandoning this... although I guess the presence of -g in the base flags does bug me a bit. Whatever.,1,200
589,5355,"This test is a horror show, but it is temporary state until all v1 crap is deleted.",1,83
10,6064,Wow yeah.. how did that git in there (goes to git blame)...,0,59
290,4394,ShowCounters() doesn't need start_time and end_time. But the duration_cast is annoying here. I move it inside ShowCounters().,0,125
511,2765,json doesn't allow trailing commas because it is dumb (also a bunch of lines below),1,83
282,2128,"I think this will expand to: ""disable-/path/to/init/main.d/goofy""

maybe: ""$(dirname ""${rule_file}"")/disable-$(basename ${rule_file%.sh})""

which will be /path/to/init/main.d/disable-goofy",0,188
211,6359,"You have to increae mmio_base and irq for the next device. Kinda awful, but its what we have for now.",0,101
456,1510,Forgot about this. I'm having a hell of a time getting libcros to find <glib-object.h>. Working on that now.,1,108
118,1751,"How long does this take? The run queue idle needs to be really fast, since it will block EVERYTHING in Goofy. If it takes a long time, maybe it should be a separate thread after all.",0,182
267,2222,"i was going to clean up AppendCluster in the next pass-- it's got a bunch of asserts that are either ridiculous paranoia or errors that should be handled. 

anyway, drop these and go back to the asserts?",0,203
570,2941,"Log(""%zu"", moving_slot); :D
 
 use %zu for size_t, %zd for ssize_t, then no ugly C++ casts.",1,91
432,1569,"God, who gave that class such an obnoxiously long name.  He should be lit on fire.",1,82
0,5172,this is the wrong way around---instead of temporarily releasing the solar mutex you now temporarily (redundantly) acquire it one more time,0,138
281,790,Can we remove WidgetCreationType and kWidgetCreationTypeKey?,0,60
145,5847,What if nStartRow<=0 or nStartRow>MAXROW+1? The entire loop wouldn't need to be executed then.,0,94
330,5493,"ugh, this style convolutes changes in patches...  on-per-line is much nicer :-)   although I know this is the autotest style...  damn you mbligh, heh ; and I guess gerrit is also pretty good at partial line changes...",1,217
89,3590,"null should never happen, so I would use Preconditions.checkNotNull instead; otherwise an misconfiguration in TOUCH_NAME_TO_ENUM may be masked",0,142
58,5088,"This is checking cur != NULL but there is free(cur) in the loop, does this work as expected?  Should it be checking next instead?",0,129
503,1071,"Darn. Oh well, let's abandon this patch and maybe use your later suggestion (Proto, EVT, etc) instead to make it more obvious to the reader.",1,140
137,1423,"event_log should be eliminated by testlog, so let's do the migration now.",0,73
125,5608,Use GEM mmap. Whether or not the buffer is tiled is an implementation detail.,0,77
71,3108,"My bad, need to start constant with a 'k', kRenewalTimePercentage. Same for below.",0,82
197,5553,"Urgh, annoying... How much work is it to test the ""users""? How many are there in the first place? Can you not just inspect them manually and make the change? Otherwise I suggest switching to Python...",0,200
586,2697,"It would be nicer to use ""size_t old_fingerprint_end = old_sdp.strspn(""\r\n""), but it seems that wtf::String doesn't have a strspn equivalent. This will work.",1,158
467,4789,The repeated setter looks ugly. Consider one masking step.,1,58
177,3278,nit: I think this wants to return step_odict; returning an empty dict makes this inherently behave like DropExpectation.,0,120
184,3522,Nobody uses CreatePerUserTopicInvalidationClient. Who is going to own InvalidationClient*? Does it make sense to return std::unique_ptr<InvalidationClient>,0,155
277,4638,thanks! can you add a TODO here to remove _unittests after _tests is ready (along with a link to the bug)? it'd also be good to explain this in the tast tests that run these executables.,0,186
25,3662,"Oh, shoot, thanks. I misread and thought this was calling the same-named function above that's OS_ANDROID-only.",0,111
505,6142,"yeah, it sucks.  i want to extend our gerrit libs more at some point so this will go away.",1,90
50,3620,OH NOES! I was going to remove this before uploading! MY LIFE IS RUINED!,0,72
299,4918,this afternoon's job is removing this and the PR_SET_VMA hack too...,0,68
389,1558,"Gimme a sec, Mark. I'm stuck in some crazy rebase hell.",1,55
98,5834,"what are these libs? Are they large? (gerrit isn't showing me.) License?

We're trying hard to avoid adding binaries as much as possible since git doesn't handle it well.",0,170
363,5340,this shouldn't be in this file. i'm not sure it should be anywhere. why don't we just 'static inline' all this crap? none of it is public API.,1,142
516,843,check yourself before you wreck yourself...,1,43
578,778,can we get rid of this ugly files/ convention too while we're here ? we've fixed it in most other places too.,1,109
437,2002,"i realize FatalError shouldn't return, but if we're being this anal, it seems odd that there's no free(3).",1,106
286,1622,"Has lint gone mad? ""Single-argument constructors should be marked explicit."" I'm very explicitly constructing a copy here! And an explicit copy constructor would be useless.",0,173
526,3531,"nope. just a boneheaded mistake, just like missing the !SendTo right above it...",1,80
213,3099,mpAudioTrack should be initialized.,0,35
131,6156,"Yeah, some rebasing stupidity on my part.

This stack doesn't need to be on top of cron anyway, reparented.",0,107
38,1849,"I don't got it:  if I remove  virtio_dumb_resolve_format, this will change dumb path, you mean this won't introduce regression for dumb? 
This abosolutely won't change virgl path.

Or you mean use the dumb verion to replace the current virgl version?",0,250
135,5635,Use this.mHandler.removeCallbacksAndMessages(null) instead.,0,59
6,4117,"return false on null case?

 if (!blob->data) {
   return false;
 }
 blob->data_length = ...",0,92
560,6001,"Why on earth does a class called ""client logger"" have anything to do with packaging stuff and installing stuff on a device??

Friggin' autotest...",1,146
74,4013,Really sorry about that. It was a stupid mistake.,0,49
588,3485,No worries! the part of the code is pretty ugly and it is sooooo hacky! :-),1,75
46,5143,"This is quite an abuse of C enum.
I don't know how much of proper code review is expected to this third-party code.",0,115
192,4181,"Same here, useless error in a console log.",0,42
500,6203,"Yes, I found out it happens, and it sucks. The templates need to change to allow project-level files that do not change when adding modules. gradle.properties and local.properties are the use case.",1,197
221,6075,wpr.Wait should be called even if Kill failed. Maybe we can call Wait with defer.,0,81
201,1422,"Even worse, *Theaded*FileWriter never existed. Fixed.",0,53
121,3209,nit: add a simple constructor so it isn't possible to create one of these with garbage in the 'type' member,0,107
155,2259,I would like to get the 'android-configure.sh && make' flow continue to work. Is is possible to put this copying and generation step inside of android-configure.sh instead to make it so?,0,186
372,1010,"Damn it, I swear I know how to speel this word.  Fixed.",1,55
319,4398,sigh. Apple's shenanigans with clang versioning _suck_. This is ridiculous.,1,75
306,910,correct -- this is how `gerrit` has always operated thus far.  i agree it's crappy behavior.,1,92
229,2104,I think the rockchip_configure_pd_cnt () should put in probe().,0,63
582,1050,"Damned if you do, damned if you don't (I'm doing it because I've gotten nits about it).

I do the same as you're suggesting in other code bases...",1,146
596,2019,"I see. That restriction sucks. Let's keep it the way you have it, otherwise we'll have to have this super uber ModuleAdapter, which sucks too.",1,142
161,3186,"nit: 
    CURLMsg* curl_msg = curl_multi_info_read(curl_multi_handle_, &msgs_in_queue);",0,87
429,1662,"hey look, we can set it with an envvar instead of writing crap to disk. what a good idea, right?",1,96
292,3747,"oops i'm an idiot and can't read, it's not actually published :)",0,64
42,6416,"you seem to always cd into this dir in the src_* funcs.  perhaps you'd be better off changing the value of S to like:
S=""${WORKDIR}/asan/clang_src""",0,147
550,6114,"yeah it's kinda crappy, since these tasks are there only for Studio, but since we can't hide them, we may as well assign them a group.",1,134
345,1962,"i know the code above sucks and is wrong, but move this to src_configure

ideally, this wouldn't even exist as it'd be in the configure script ...",1,146
469,854,"chromite.cros.commands.* contradicts that. :)

Find stays, although an os.walkdirs or similar perhaps (the find was used since it's far simpler than the walkdirs crap, imo).",1,173
239,1788,"I am fine to create a new AssistantNotificationSubscriber.
 Do you mean to rename AssistantEventSubscriber interface to AssistantInteractionSubscriber?",0,151
254,5523,"Ultimately, when this system is used, functions in this unit will be able to be called. Specifically, utimately it will be possible to change the 'active' bit(s) on devices. So, the locking is necessary in the long term.",0,220
27,6329,"You could record the PID of the bot in a file after you kick it off, then kill the bots by using os.kill.

Even if you continue using ""ps a"", I think it's better to use python's re and os modules than shelling out to grep awk and kill.",0,235
124,1351,"Dumb question... this is pointing to the old rev since this is Xcode's version, and we can't go beyond what is installed?",0,121
141,945,"couldn't you can simplify all of this to:
 bool call_service_manager_started_callback = !service_manager_context_;",0,114
189,3127,"Nah, type errors happen when you try to assign/compare/dosomething with it. This way it actually works as a pointless null statement as well if really want to do such a weird thing :)",0,183
223,2540,"Indention should be:

blah = Blah(stuff,
                  stuff2,
                  stuff3);",0,93
112,6042,With this option I don't get any respone after setenv stdin=usbkbd,0,66
404,840,Check if the JIT is enabled then. It sucks to not have coverage.,1,64
565,1034,"Damn, I'm really sorry, worst typo ever. At least strict_cast saves the day. :)",1,79
521,3397,nit: this line is totally worthless,1,35
401,2047,"I think at this point the IOMMU is in a broken state anyway and the whole system is screwed. ;)

Generally this shouldn't happen, though...",1,139
61,682,blah = doesn't always work. In this case hostname= does not work and host= expects a host id # not a hostname.,0,110
357,1220,Done -- I have now modified java.util.logging.SocketHandler (didn't even know there was such a crazy class). You're analysis of DatagramSocket and Posix API is correct. We're letting them be.,1,191
440,1418,"even reading the bug, this seems very bogus to me. can we just lose all this crap?",1,82
12,1591,"grid_height = screen_height/grid_num;
sample_height = grid_height/sample_num;",0,77
569,1421,"even though the old code had strncmp, shouldn't these be strcmp? we don't want ""adb wait-for-sideload-trailing-crap"".",1,117
558,6149,"yeah, it's used by to share SHA1-related constants. yuck.",1,57
408,6110,"yea, this kinda sucks. I'll think about how we can improve this.",1,64
237,456,"Ah, this is why your hack only runs for USID = 0",0,48
512,2727,it's kind of ugly to be digging into mutex internals...,1,55
400,706,"Both clang and GCC are pretty stupid about this warning.

    struct foo = {}; // emits warning

Eventually this will all be C++ and we'll just have real constructors, but this will do for now.",1,193
296,4685,"that's just silly. if we really worried about that, we would also include the date and the log tag and the fact that this is of class error!",0,140
309,3646,"Oh, I screwed this up when I took out not_darwin.  This is a case where we want one set of files for darwin, but a different set for both android and linux.",1,156
119,2631,"Isn't system_api's dbus/service_constants.h violating this, then?",0,65
63,4615,"syscall to futex if busy. If one writer in process, never hits a syscall.",0,73
397,5122,"this is lame copy-pasta. Left a comment, but it's not for this CL.",1,66
466,5325,"This should have been const void*. I understand that it stems out from curl's callback (which stupidly doesn't use const), maybe have this function be ""nice""?",1,158
54,3125,"Nah, because I want to make it REALLY HARD to do something stupid that causes us to lose track of locked hosts.  This way, you can't remove hosts from self._hosts short of flat out blowing it away and replacing it with something else.",0,234
346,1964,"I know this is incredibly anal, but to you want to make this an atomic operation? I think this is going to be atomic no matter what, but maybe it should be explicit so there is no chance that someone will be able to get a half set value.",1,237
29,4173,"same as the other file, kill those with fire...",0,47
226,2684,"It seems like the fundamental issue here is that adb_socket_accept() does not set errno if _fh_alloc fails. Maybe consider fixing that and then kill the errno checking in this func? (sorry, I should fixed adb_socket_accept myself when I last touched it)",0,253
443,420,"ah crap. it's what I feared (I wanted to check this in to test). The separator is going to be dependent on windows.
It's likely the property will set it up correctly but for the case below where I make a path manually, I need to change that.",1,241
142,3872,Please initialize in the ctor. Uninitialized values are evil!,0,61
506,4964,This comment is very silly. Consider revising or removing it.,1,61
398,4932,"This block is rather lame, what about using some triple ? operator :",1,68
56,2920,Let's use DISABLE_HW_DECODE_ACCELERATION_BROWSER_ARGS or DISABLE_ACCELERATED_VIDEO_DECODE_BROWSER_ARGS.,0,103
460,1008,"Damn it, how'd that slip through...",1,35
579,6144,"Yeah, it was pretty dumb. It could be improved, but I figured the new approach is more elegant anyway.",1,102
355,5483,Ugh these ws issues were hideous.  Fixed.,1,41
220,5941,why do you need kill ?  that's pretty weird isn't it ?,0,54
64,4692,That's the wrong daemon... the signal goes to powerd from here.,0,63
373,5918,Why are you creating the HBoundType then? It seems useless.,1,59
543,1760,https://android-review.googlesource.com/#/c/102926/ removes this crap from bionic's <grp.h>.,1,92
268,1802,I am wondering if it is not an iterator here and below.,0,55
430,6270,"You are getting crazy here. :)  With the NULL termination below and this assignment it makes me think you did something wrong.

Why not have a char suffix = '0'; Then you can suffix++ below when creating a new string as well as using it here.",1,242
327,524,"and repeatedly executing the same useless code is slow ...
 IMO, that's just papering over the code inefficiency.",1,113
422,3126,"Nah, if you set the data pointer in the constructor and still expect the vector to do anything useful, good luck. I don't see the point in adding run time tests for such idiocy :)",1,179
461,5228,this means that any calling code that uses this needs to be built with _FILE_OFFSET_BITS=64 too. i guess the fact that it's all C++ means we're safe because the mangled names won't match if you screw up?,1,203
312,2403,"if you're doing comparisons that aren't == or !=, you're insane anyway :-)",1,74
356,5152,This is screwed up... Stupid clang-format.,1,42
474,5885,When I change the API I will delete it. Having this kind of thing being a public millstone for the GC is ridiculous.,1,116
563,2122,I think this macro confuses more than it helps... token concatenation is pretty ugly.,1,85
154,4430,sizeof (struct FwdLockFile_DeriveKeys_Data) instead of sizeof *pData,0,68
344,6174,"Yeah, ugly beast. I'll need to have a closer look, so either you wait for that, or back this out (and submit separately).",1,121
246,2274,"I'd add a javadoc reference for the bug for reference here and below. Even 


/**
  * http://code.google.com/p/android/issues/detail?id=31903
  */

would be fine",0,161
425,1686,"Hmm, you are right. These should not be included by CQ until they're submitted.

Note that the CLs will not show up as chumps because they're submitted by chrome-bot.",1,166
116,3969,probably worth pointing out that sample_type is a *bitmask*.,0,60
381,4688,that's not a new issue but mixing here RO and RW data is sucking useless SRAM (RO part should be in flash only),1,111
275,4048,Remove here and below and in other archs.,0,41
148,2607,"is this actually what we want, or do we just want raw /proc/pid/maps output? bdc? cferris?",0,90
222,5246,"This needs *your* SOB.
As I mentioned before, please use:

git cherry-pick -x -s

To add the cherry-pick message *and your SOB*.",0,128
30,3190,nit: #endif /* CONFIG_USB_PD_TCPM_MUX */,0,40
190,6340,"You don't have an allow rule for misc_block_device. Shouldn't you have the following?

  allow update_engine misc_block_device:blk_file rw_file_perms;

Otherwise, nobody will be able to do anything with misc_block_device...",0,223
370,1037,"damn, this is no longer used, I'll remove that.",1,47
393,3308,Nit: let's nuke the |numPopups| param for sake of simplicity.,1,61
171,2165,i think you can leave these two out. (they have to be included by their mocks.),0,79
133,1685,"Hmm, what should we do when these early returns are hit while there is pending Receive request? Currently it will enter deadlock.",0,129
538,5257,This one seems pretty useless as well!,1,38
343,725,but  can we leave it stupid for now for the sake of getting it going?,1,69
580,6497,"you're right, it looked clumsy when I did it the other way but I think it's the right way. I'll fix it.",1,103
455,431,"Ah, crap.

This is non-trivial to implement efficiently given the current entity structure. I'll implement it half-assedly and warn in the doc about that.",1,154
388,1926,"I hate Qt's metatyping.

Moved to using a private data member instead of a slot argument.",1,89
531,5468,"Turns out that this doesn't actually work unless you put it before the unconditional line. Damn you Kconfig...!

Maybe this was the reason this patch didn't work for you, Furquan?",1,179
385,5486,"ugh, damn autoserv, bringing it back.",1,37
328,583,"arse!

good job one of us can read…",1,35
49,2359,"If this returns null because of OOME, we should be careful to not get another OOME causing a recursive throw abort.",0,115
14,2204,i thought SELinux had killed bootchart. should we just remove it?,0,65
114,1132,"Did you mean ""0x[0-9a-fA-F]+""?
 
 Again, consider ""0x[\da-fA-F]+""",0,65
144,2960,"lsusb isn't built any more. should i add lsusb.c back into the makefile and restore libusbhost, or should i git rm lsusb.c?",0,123
110,4787,the --product option doesn't seem to be used by this script. probably a left-over of experimentation,0,100
383,1429,"Eww.  Yes I suggested the ternary there, but that's fugly. :)

if deps_filter_fn is None:
  deps_filter_fn = lambda x:x
self.deps_filter_fn = deps_filter_fn",1,156
394,5201,This kind of looks silly.... !a_loc.Equals(b_loc) is a lot more readable.,1,73
499,1575,"Good catch.

It sucks that we have multiple name spaces for the same stuff.",1,75
260,2431,"I'll give it a shot, I was considering this a bit for the sake of not duplicating logic like you mention, my main hesitation was that I'm garbage at makefiles :)

But I think it would be the better solution, I'll play around with it today.",0,239
471,2534,"indent your tests please, else it's a minor bitch reading it; doing so also (in conjunction with \ line continuation) makes it easier for people to tell what is individual tests, vs all part of the same command.",1,211
396,673,Better to use tr -d here. But I think it is very braindead.,1,59
537,3469,"no magic.. just this coder dumbness
tried another way...",1,56
113,1542,"get rid of stale white space, here and below.",0,45
590,4972,"This could also be improved as above.  Also, I simply hate
the unnecessary \ continuation.  Finally, the quotes here are
silly.",1,127
555,3536,"Not a deal breaker but that kinda sucks. Is there a ""things to do after v2 launches"" bug list? This sounds like it should be added.",1,131
599,494,ALL_CHAPS_WITH_UNDERSCORES is ugly :),1,37
276,5939,Why do you include this assignment if the next statement right after this block is another reassignment? Self-contained free-ing and init-ing block? Or copy-and-paste artifact?,0,176
11,5405,"This won't force sync/flush.

As I mentioned before, I think you can just put a hwid_bundle_vm.sh in srcdir folder.",0,115
60,3572,note: the 'Daemon' suffix is kinda redundant and unnecessary,0,60
147,3503,"no, let's just remove this nonsense command in another patch.",0,61
472,4314,"Should really be moved to using unittest... This crap was already here, so no need for this CL, but it would be nice to cleanup eventually.",1,139
269,3210,nit: Add a space between the colon and the bug number.,0,54
198,6486,"You're implicitly clearing all W1C bits every time you write this, which is bad style. You should have a W1C mask that you apply every time you read this register, and then explicitly set bits you want to clear before the write.",0,228
514,1564,"Global context kinda sucks for following code flow, but I know we rely heavily on this param global.",1,100
525,1032,"Damn, I miss clue as to what the variable contains :-)",1,54
259,4024,recommend pcre_options = PCRE_ANCHORED,0,38
19,2759,"JavaTime is an int64, but base::Value only supports int.",0,56
382,5140,"This is pretty ugly.  Maybe we could instead identify SLCG clocks by a name prefix instead?  e.g. all SLCG clocks are named ""slcg_*"".",1,133
231,2533,"indent with tabs, not spaces
 
 you could one-line it by doing:
 
  rm ""${D}""/boot/{config,System.map}-${version}
 
 you should add `|| die` after each `rm` since it isn't automatic",0,181
329,6070,"Wow, there's no way to make this automatic? Seems like a pain in the ass to recalculate every time we insert/remove a button.",1,125
517,1058,"darn it, I thought I got rid of this. done",1,42
595,640,"Bash is a strange beast. Here's my problem:


$ echo 'somevar=""blah""' > test.sh
$ (. ./test.sh) || echo fail
$ echo ${somevar}

$ . ./test.sh || echo fail
$ echo ${somevar}
blah",1,177
542,1458,"FATAL:media_transfer_protocol_manager.cc(52)] Check failed: bus_.

It sort of sucks to have a bunch of ifs just to make the test pass. I'll check if we can put in some fake bus and get back to you.",1,197
491,2301,"I'd probably put the common deps here into a seperate var, than do

RDEPEND=""gdmwimax? ( $COMMON )
DEPEND=""gwdmwimax? ( $COMMON blah )""

But that's just me being overly anal about it; what's there is fine.",1,205
333,5554,"Urgh, this is pretty ugly. Are you doing this just to retain the constant lookup in the ssa builder? SafeMap has lookup in O(log n) which really isn't that much of a difference...",1,179
109,6007,"Why store this as a bool, rather than using something like the `WebContentSecurityPolicyType` enum?",0,99
280,3881,please leave a line's worth of space here.,0,42
481,6116,Yeah this one is a bit weird. I believe it's possible to remove it by using the InputMethodKeyboardController interface instead. I can give it a try.,1,149
41,2492,I'm somewhat of a fan of still having the (useless) &= ~(7 << 4) just to make it obvious that we're setting a field.  ...but I guess that's a matter of opinion.,0,160
149,3007,"Maybe in another CL, I am also tempted of just deleting the if and putting a DCHECK.",0,84
332,5352,This sucks. We should not need to do this. Could we templatized The users (like CodeGenerator) of Label instead?,1,112
301,707,brace indentation is screwed up here,1,36
166,4862,these downcasts need to be static_cast now,0,42
339,4200,"scratch that, making chown do it would be sucky and ugly.

Is there a way we can just do a ""restorecon_all"" at the end of the init process (before remounting root ro, and then after setting up /data) to just restore the context of everything?",1,242
241,5477,Typo: 'SetCon*s*tructedInTesting',0,33
240,5693,"vpx_dsp/ should be enough, then you'd move this after vpx_integer.h for the sort order",0,86
428,527,"And what was the decision around the try/catch-all done in a clinit? I know -1 sucks, but that's probably the less error-prone..",1,128
349,6155,"Yeah, MX_CPRNG_DRAW_MAX_LEN is just #define X 256, not 256u. Stupid language. Maybe the cast there is better anyway.

Fixed read_len location.",1,142
303,711,"btw, `ECMASCRIPT6` significantly increases bundle size by adding dozens `$jscomp` variables like `const $jscomp$async$this=this;return $jscomp.asyncExecutePromiseGeneratorFunction ...` and ES6 polyfills. It's awful :(",1,217
1,659,Because you std::move() the context_provider into context_provider_ it's always null the second loop.,0,101
130,1841,I disagree. I believe that would impose a burden on every caller of common_minimal.sh even if they did not need cgpt for their function.,0,136
415,2443,I'm a sucker for early returns instead of adding an indentation to the whole function body. :),1,94
153,2058,"I think it is useless. In which case is it useful, for what?",0,60
123,4457,So stupid.... I forgot to do the most important thing.,0,54
26,4038,Remove all SUPPORT_CHECKSUM since your i2c has implemented it.,0,62
468,2461,I'm hoping that you won't tell me that this is a horrible hack :),1,65
295,4940,This can be done by the transaction itself before calling ResetPartialNetworkTransaction. Doing so would avoid cyclic behavior and make this method clearer.,0,156
138,5350,this subject line is a bit uninformative,0,40
194,6233,"Yes, we should be able to use the SIMD instructions VCNT on ARM and CNT on ARM64.",0,81
179,2255,i would have expected cros_build_lib.Die instead.  including the x86_64 check above.,0,84
92,1639,"Hehe, why are you always right? :-) I should do some pair programming with you to avoid doing stupid stuff earlier ;-) Thank you!",0,129
495,2936,"list is internal identifier, and xlist is a stupid name",1,55
162,3404,"nit: unique_ptr<>& is a little ugly IMO, when not necessary.  Maybe
ExtensionThrottleEntry* entry = url_entries_[url_id].get();
?",0,129
371,5081,"this is another instance of uneducated programmers calling any kind of polymorphism ""overloading"", please translate it to ""override""",1,132
37,5829,What about vb2_get_keyblock? It's not restricted to vblock.,0,59
487,3974,Provide an overloaded constructor instead? Nulls are evil.,1,58
470,4487,"something is going wrong with the indentation here - or perhaps before, make sure it's 4 spaces (and configure your editor to ensure that, if it is too dumb to do it out of the box)",1,181
178,4803,"The umpire structure is based on twisted, and we probably want to use twisted primitives (such as deferLater) instead of threading.Timer.",0,137
9,5536,"unless the atomics grown on me overnight, i think i'll remove them in the morning. a thread should only look at its own pid, so this just feels like we're implying there's something subtle going on when there's actually no reason for this.",0,239
102,3309,nit: Let's write BindRepeating. ditto for other callbacks.,0,58
515,3456,Nix the period to match the other list items (this is just me being anal),1,73
545,3487,"no, but I also could find no way to get an array initialisation in to a parameter of a constructor that did not suck far worse",1,126
463,522,"and not caught by the upload scripts, damn their eyes.",1,54
395,5185,This is ugly. Maybe subclass output manager for each interface type?,1,68
417,1040,"Damn, yes I forgot that I'm no longer serializing the original AndroidProject and the reproxied version will always (incorrectly) succeed in deserialize. I've added the version check (not exactly sure I'm checking the right thing tho)",1,234
391,1753,How the crap did this even compile? Done.,1,41
199,2932,"line 30 - lol. yeah, let's kill it.",0,35
358,3996,Putting parens around ::android::Singleton... should fix it (and confuse the hell out of cpplint).,1,98
91,1293,don't add a format here -- this is deprecated in favor of the GBM_FORMAT_* below.,0,81
418,5008,This has a different ordering... silly.,1,39
366,2113,"i think this changes the behavior of ""reboot-bootloader"". didn't ""reboot-bootloader any old crap can follow"" work?

i feel like we're making this already unreadable mess even worse.",1,181
490,1067,"Darn, it's fast in Crashpad, but it's very small. A --get-value=target_os that returns it unquoted would be nice, but nevermind then. :)",1,136
496,1521,future language designers take note: this is the kind of silliness that results when you don't allow trailing commas,1,116
476,3623,"Oh this is so lame... re.match() anchors the beginning, but not the end :P :P :P :P  What were they thinking?",1,109
551,4606,"Sure, but it doesn't hurt either. (hmm, Windows is stupid because it is not POSIX?)",1,83
105,2935,"Lint is OK with this? Why did it choke on `*im = InlineMethod{opcode, flags, data};` in the original CL then, saying that the ';' after '}' is unnecessary!",0,155
159,703,"Boop boop, this is the white-space police again. This is strike two, failure to comply will lead to unpleasant consequences.",0,124
316,3446,Nitpick: blank before comma is ugly ;-),1,39
445,3488,"no, but i can change it to Lollipop. i just hate these stupid-ass names, and don't have an API level yet.",1,105
348,5467,"Tuple.  Test code should assume that what it's testing is going to fuck up, and make themselves immutable/protective as a default course of action.",1,147
117,563,Are you planning a separate CL to remove SetFailureSilent here and in the mocks?,0,80
449,4509,"Sorry, I suck. I should have also told you to put this in pkg_preinst()",1,71
593,993,"dammit python... a compiled language wouldn't have allowed this

thx",1,68
100,1772,"I _think_ we want to kill this one?

...doing it in a later CL.  See <https://gerrit.chromium.org/gerrit/50492>",0,111
574,1210,"D'OH! Shit, sorry... you should've told me that something broke for you. I'll fix it right away.",1,96
380,2257,I would just read the right half of the diff here. The old interface was confusing garbage.,1,91
196,1990,I needed it for DISALLOW_COPY_AND_ASSIGN. Removed.,0,50
323,3801,"Output is mildly ugly, but it's stupidly useful in comparison.",1,62
283,6445,You should probably either handle view == null or add a DCHECK,0,62
353,5120,"This is kinda crappy. I just realized you can't query LayoutLibrary for the API level.
We should have a Capability for IMPROVED_VIEW_INFO or something.",1,151
411,6066,"Wow, did we miss an obvious bug right here!  What idiot LGTM'd this?  :)

I'm fixing this as part of another CL now.",1,116
274,2525,In the kernel where they dislike* typedefs.,0,43
230,559,"are we going to move existing -ftrapv users like libpng over to this? i suspect an abort will be a lot less painful to debug that the current SIGILLs, which always end up on cferris' desk because of their non-obviousness.",0,221
313,1925,I hate passing string literals for enums... ;-)  Done.,1,54
258,4906,Thing is I usually find it silly to have case A: case B: if (A),0,63
541,654,"because of this bullshit here i had to revert this commit on master as it was filling up /tmp here and it looks like on CI too:

http://ci.libreoffice.org/job/lo_gerrit/2999/Config=linux_gcc_release_64/console",1,209
375,1846,I don't actually need all this junk...,1,38
233,4002,"quote the $D and drop the ""|| die""",0,34
273,668,better just remove this completely than introduce a rotting DEBUG_CPPU_UNO,0,74
322,2127,I think this sucks but can't find a better way to do inline styling.,1,68
547,3971,Probably. That was me being almost as stupid as the original code.,1,66
289,1827,"I could just remove all these VerifyMarking, VerifyMarkbitsAreClean, VerifyEvacuation and ClearMarkbitsInPagedSpace now. WDYT?

I guess we could have a TODO in VerifyMarkbitsAreClean(?), that said the mark bits for read_only_space() are always dirty.",0,250
584,1596,Grr... darn git cl format!  Fixed.,1,34
447,1705,"Holy crap. Yeah. I distinctly remember me going, fixing it, removing the entire directory structure and running cbuildbot to see it recreated. I have no idea how this typo popped back and when.",1,193
453,499,"Also explain in this file why the compiler was failing, and dx's smart/dumb behavior.",1,85
224,4344,"should this be myZipOutputStream.write(bytes), or does super end up calling write(int) for each byte or something?",0,114
451,5223,"This manual event multiplexing is yucky.

We're not using GA for any graphing atm. I would recommend skipping any ga updates at all. Toolbar is what matters.",1,157
285,5313,this should be moved into RepositoryExternal.mk and gb_Library_use_externals should be used here,0,96
157,6365,"you know, that hadn't even occurred to me. but now i wants it :P.",0,65
535,1499,"For some stupid reason, I thought that also checked capacity. I now see I was wrong. Fixed.",1,91
7,4848,These are hardcoded here and in the zone functions. Put them all in one place.,0,78
218,4839,"There's only one waitqueue, no need to init it multiple times",0,61
103,889,"Consider checking that in.dataAvail() == 0 at this point. (i.e., there's no trailing garbage.)",0,94
2,3509,"No, the line is correct, it is SAL_INFO( area, expression)",0,58
271,4625,tegra_grhost_aperture = tegra_fb_start = mem_start;,0,51
494,3863,please fix this silly trailing space issue,1,42
553,1968,"I know this is simpler, but I don't know why an enterprise would care about disabling audio activity unless it delayed the lock screen. For the user in the enterprise case, losing this ability just becasue video is bad would suck.",1,230
20,4102,"replace the misleading javadoc with ""Equivalent to {@link Math.nextUp}.""?",0,73
262,2877,lazy brillo flag_helpers doesn't provide DEFINE_uint32 :(,0,57
320,1171,Do we really need to protect against the file system changing under our ass? I think that's a bit excessive.,1,108
40,4665,"That sounds like it's blocking the user, right?  My concern is it's pretty easy for users to type a dumb search (e.g. search for the letter 'a' accidentally), and then be stuck in a frozen browser.

What do you think?",0,217
146,3946,private with a getter and setter that sets the dirty bit.,0,57
